Date, Open, High, Low, Close, Volume
12/30/22, 12.20, 12.50, 12.15, 12.30, 108400
12/29/22, 12.25, 12.25, 12.10, 12.20, 1041800
12/28/22, 12.10, 12.30, 12.10, 12.20, 26800
12/23/22, 12.10, 12.20, 12.00, 12.10, 20900
12/22/22, 12.50, 12.50, 12.00, 12.05, 173500
12/21/22, 12.20, 12.20, 12.10, 12.20, 31500
12/20/22, 12.00, 12.20, 12.00, 12.05, 61200
12/19/22, 12.30, 12.30, 12.05, 12.20, 56700
12/16/22, 12.20, 12.25, 12.05, 12.15, 132100
12/15/22, 12.30, 12.30, 12.00, 12.05, 75600
12/14/22, 12.00, 12.10, 12.00, 12.00, 149900
12/13/22, 12.00, 12.10, 12.00, 12.00, 85700
12/09/22, 12.00, 12.10, 12.00, 12.00, 71700
12/08/22, 12.00, 12.00, 11.90, 12.00, 41300
12/07/22, 12.05, 12.10, 11.65, 11.95, 42000
12/06/22, 12.10, 12.50, 11.95, 12.05, 73200
12/05/22, 11.80, 12.10, 11.80, 12.00, 118700
12/02/22, 11.95, 12.00, 11.65, 11.80, 102500
12/01/22, 11.80, 12.00, 11.80, 11.95, 31500
11/30/22, 11.40, 12.50, 11.40, 11.65, 53300
11/29/22, 11.50, 12.00, 11.40, 11.80, 121400
11/28/22, 11.70, 11.70, 11.25, 11.40, 48900
11/25/22, 11.60, 11.70, 11.55, 11.65, 98400
11/24/22, 11.60, 11.70, 11.30, 11.50, 31800
11/23/22, 11.75, 11.75, 11.50, 11.60, 78200
11/22/22, 11.75, 11.75, 11.40, 11.60, 171200
11/21/22, 11.75, 11.80, 11.60, 11.75, 39500
11/18/22, 11.70, 11.80, 11.60, 11.70, 85500
11/17/22, 11.80, 11.80, 11.70, 11.70, 125500
11/16/22, 11.70, 11.80, 11.40, 11.70, 14983400
11/15/22, 11.60, 11.70, 11.60, 11.65, 91800
11/14/22, 11.90, 11.90, 11.55, 11.70, 34100
11/11/22, 11.85, 11.90, 11.65, 11.70, 39600
11/10/22, 11.70, 12.00, 11.70, 11.85, 55000
11/09/22, 12.00, 12.00, 11.60, 11.80, 44700
11/08/22, 12.00, 12.00, 11.40, 11.70, 1109000
11/07/22, 11.50, 11.70, 11.10, 11.70, 1179400
11/04/22, 11.45, 11.55, 11.15, 11.40, 146500
11/03/22, 11.50, 11.50, 11.35, 11.50, 87800
11/02/22, 11.35, 11.60, 11.30, 11.45, 77600
11/01/22, 12.25, 12.25, 11.20, 11.35, 52400
10/31/22, 11.35, 11.35, 11.15, 11.25, 111100
10/28/22, 11.25, 11.35, 11.00, 11.15, 69700
10/27/22, 11.50, 11.50, 11.15, 11.35, 35900
10/26/22, 11.50, 11.50, 11.15, 11.35, 38600
10/25/22, 11.60, 11.65, 11.35, 11.50, 92300
10/24/22, 11.65, 11.65, 11.40, 11.60, 57500
10/21/22, 11.65, 11.65, 11.50, 11.60, 94800
10/19/22, 11.85, 11.85, 11.50, 11.65, 101600
10/18/22, 11.50, 12.00, 11.50, 11.65, 56900
10/17/22, 11.20, 11.50, 11.20, 11.35, 111900
10/14/22, 11.20, 11.20, 11.05, 11.15, 37000
10/13/22, 11.15, 11.20, 11.00, 11.10, 50300
10/12/22, 11.00, 11.15, 10.80, 10.95, 68900
10/11/22, 11.00, 11.10, 10.90, 10.95, 84700
10/07/22, 11.00, 11.20, 10.90, 10.95, 62700
10/06/22, 11.00, 11.20, 10.80, 10.95, 100700
10/05/22, 11.05, 11.20, 10.95, 11.00, 95300
10/04/22, 11.10, 11.35, 11.00, 11.05, 130400
10/03/22, 11.35, 11.40, 11.10, 11.30, 93100
09/30/22, 11.50, 11.50, 11.40, 11.45, 48800
09/29/22, 11.40, 11.50, 11.25, 11.35, 77500
09/28/22, 11.40, 11.45, 11.10, 11.30, 16300
09/27/22, 11.30, 11.50, 11.05, 11.25, 53900
09/26/22, 11.80, 11.80, 11.30, 11.40, 2063000
09/23/22, 11.80, 11.80, 11.05, 11.45, 33500
09/22/22, 11.70, 11.70, 11.00, 11.40, 546800
09/21/22, 11.80, 11.80, 11.50, 11.55, 264100
09/20/22, 11.80, 11.80, 11.50, 11.60, 188400
09/19/22, 11.70, 12.00, 11.50, 11.70, 192700
09/16/22, 11.50, 11.70, 11.50, 11.60, 60100
09/15/22, 11.75, 11.75, 11.10, 11.35, 70900
09/14/22, 12.00, 12.00, 11.50, 11.70, 56100
09/12/22, 11.95, 12.00, 11.90, 11.95, 170300
09/09/22, 11.90, 12.00, 11.90, 11.95, 46300
09/08/22, 12.00, 12.10, 11.90, 11.95, 49100
09/07/22, 12.00, 12.50, 11.90, 12.00, 280600
09/06/22, 12.00, 12.40, 11.95, 12.00, 294600
09/05/22, 12.30, 12.50, 11.70, 12.00, 1407500
09/02/22, 12.00, 12.05, 11.90, 12.00, 65800
09/01/22, 11.90, 12.00, 11.80, 12.00, 67200
08/31/22, 11.65, 11.90, 11.65, 11.85, 18600
08/30/22, 11.70, 12.00, 11.65, 11.85, 11800
08/29/22, 12.30, 12.30, 11.45, 11.65, 102200
08/26/22, 11.90, 12.00, 11.60, 11.70, 68200
08/25/22, 11.70, 12.00, 11.70, 11.80, 65800
08/24/22, 12.00, 12.00, 11.00, 11.60, 226500
08/23/22, 12.30, 12.30, 11.90, 12.00, 125100
08/22/22, 12.35, 12.50, 12.10, 12.20, 76100
08/19/22, 12.30, 12.45, 12.25, 12.35, 107000
08/18/22, 12.40, 12.45, 12.25, 12.30, 272700
08/17/22, 12.05, 12.40, 12.05, 12.30, 139900
08/16/22, 12.40, 12.40, 12.05, 12.25, 72500
08/15/22, 12.30, 12.40, 12.00, 12.10, 41500
08/12/22, 12.40, 12.40, 11.95, 12.00, 144600
08/11/22, 12.00, 12.50, 11.85, 12.00, 174200
08/10/22, 11.75, 12.00, 11.40, 11.75, 581300
08/08/22, 11.55, 11.70, 11.40, 11.60, 161900
08/05/22, 11.50, 11.50, 11.35, 11.40, 249800
08/04/22, 11.30, 11.60, 11.20, 11.35, 109700
08/03/22, 11.25, 11.30, 11.05, 11.20, 100600
08/02/22, 11.30, 11.30, 11.10, 11.15, 961100
08/01/22, 11.10, 11.55, 11.05, 11.25, 226100
07/29/22, 10.95, 11.15, 10.95, 11.05, 114600
07/28/22, 10.70, 11.10, 10.70, 10.95, 178300
07/27/22, 10.65, 11.00, 10.60, 10.65, 452200
07/26/22, 10.75, 10.75, 10.50, 10.50, 161300
07/25/22, 10.80, 10.80, 10.65, 10.70, 71100
