Date, Open, High, Low, Close, Volume
12/30/22, 31.50, 31.50, 31.50, 31.50, 3100
12/29/22, 31.50, 33.50, 31.50, 32.20, 1400
12/28/22, 31.50, 31.50, 31.30, 31.35, 600
12/23/22, 31.50, 31.50, 31.40, 31.50, 4200
12/22/22, 31.50, 31.50, 31.20, 31.40, 13900
12/21/22, 31.50, 31.50, 31.20, 31.40, 1700
12/20/22, 31.20, 31.50, 31.20, 31.25, 7200
12/19/22, 31.50, 31.50, 31.15, 31.50, 4600
12/16/22, 31.10, 31.50, 31.10, 31.15, 11200
12/15/22, 31.50, 31.50, 31.50, 31.50, 2000
12/14/22, 31.00, 31.50, 31.00, 31.40, 21800
12/13/22, 31.40, 31.50, 31.30, 31.50, 1000
12/09/22, 31.50, 31.50, 31.40, 31.45, 8300
12/08/22, 31.40, 31.50, 31.40, 31.50, 2900
12/07/22, 31.40, 31.50, 31.40, 31.45, 8000
12/06/22, 31.50, 31.50, 31.50, 31.50, 5200
12/05/22, 31.50, 31.50, 31.40, 31.50, 7900
12/02/22, 31.50, 31.50, 31.50, 31.50, 19300
12/01/22, 31.65, 31.65, 31.45, 31.50, 8500
11/30/22, 31.50, 31.50, 31.25, 31.40, 2500
11/29/22, 30.50, 30.50, 29.10, 29.90, 17800
11/28/22, 32.00, 33.00, 30.50, 31.25, 7400
11/25/22, 34.50, 34.50, 33.00, 33.40, 10800
11/24/22, 34.00, 34.00, 34.00, 34.00, 7200
11/23/22, 34.50, 34.50, 34.50, 34.50, 500
11/22/22, 34.50, 34.50, 33.70, 33.90, 18300
11/18/22, 33.95, 34.95, 33.95, 34.30, 300
11/17/22, 34.80, 34.95, 33.95, 34.05, 11000
11/16/22, 34.95, 34.95, 34.95, 34.95, 100
11/15/22, 34.00, 34.95, 34.00, 34.10, 800
11/14/22, 33.90, 34.00, 33.70, 33.80, 7100
11/10/22, 34.00, 34.50, 34.00, 34.00, 8000
11/09/22, 34.35, 34.35, 33.70, 33.80, 3500
11/08/22, 35.00, 35.00, 34.20, 34.35, 8300
11/07/22, 35.00, 35.00, 34.50, 34.65, 600
11/04/22, 35.00, 35.00, 34.00, 34.40, 3400
11/03/22, 34.50, 35.00, 34.50, 35.00, 6300
11/02/22, 34.00, 34.50, 34.00, 34.00, 3200
11/01/22, 34.00, 34.00, 34.00, 34.00, 1200
10/31/22, 34.00, 34.00, 33.00, 33.40, 7800
10/28/22, 34.30, 34.30, 34.00, 34.00, 25000
10/27/22, 34.20, 35.00, 34.00, 34.20, 1700
10/26/22, 34.00, 35.00, 34.00, 34.20, 500
10/25/22, 34.00, 34.00, 34.00, 34.00, 18300
10/24/22, 33.55, 34.00, 33.55, 33.70, 700
10/21/22, 34.00, 34.00, 33.55, 33.85, 2600
10/19/22, 33.55, 34.00, 33.55, 34.00, 17400
10/18/22, 34.00, 34.00, 34.00, 34.00, 1300
10/17/22, 34.00, 34.00, 34.00, 34.00, 600
10/14/22, 34.00, 34.00, 34.00, 34.00, 2100
10/13/22, 32.10, 33.00, 32.00, 32.65, 8300
10/12/22, 32.25, 33.00, 32.00, 32.10, 36400
10/11/22, 32.50, 33.00, 32.50, 32.55, 10100
10/07/22, 33.00, 33.00, 32.50, 32.75, 7900
10/06/22, 33.20, 33.45, 33.00, 33.05, 18200
10/05/22, 33.20, 33.50, 33.20, 33.40, 300
10/04/22, 33.50, 34.00, 33.20, 33.50, 15000
10/03/22, 34.20, 34.20, 33.50, 33.80, 1300
09/30/22, 34.00, 35.00, 34.00, 34.10, 1900
