Date, Open, High, Low, Close, Volume
12/30/22, 460.00, 460.00, 460.00, 460.00, 600
12/28/22, 460.00, 460.00, 460.00, 460.00, 72300
12/23/22, 459.00, 459.00, 459.00, 459.00, 1200
12/22/22, 459.00, 459.00, 459.00, 459.00, 200
12/21/22, 457.00, 459.00, 455.00, 456.50, 1400
12/20/22, 460.00, 460.00, 455.00, 457.75, 800
12/19/22, 460.00, 460.00, 455.00, 459.50, 1000
12/16/22, 460.00, 460.00, 460.00, 460.00, 800
12/15/22, 440.00, 440.00, 440.00, 440.00, 300
12/14/22, 440.00, 460.00, 440.00, 442.00, 1900
12/07/22, 435.00, 440.00, 435.00, 440.00, 185100
12/06/22, 435.00, 435.00, 435.00, 435.00, 193400
12/05/22, 435.00, 435.00, 435.00, 435.00, 100200
12/02/22, 435.00, 435.00, 435.00, 435.00, 12100
12/01/22, 433.50, 433.50, 433.00, 433.00, 51000
11/30/22, 430.00, 433.00, 430.00, 430.50, 6800
11/29/22, 435.00, 435.00, 428.00, 431.50, 200
11/25/22, 428.00, 428.00, 428.00, 428.00, 400
11/24/22, 428.00, 435.00, 428.00, 433.00, 1400
11/23/22, 435.00, 435.00, 435.00, 435.00, 258800
11/22/22, 435.00, 435.00, 425.00, 429.50, 2700
11/21/22, 435.00, 435.00, 435.00, 435.00, 300
11/18/22, 428.00, 428.00, 428.00, 428.00, 100
11/17/22, 425.00, 425.00, 425.00, 425.00, 130000
11/16/22, 425.00, 430.00, 422.00, 425.00, 277700
11/15/22, 425.00, 425.00, 420.50, 424.50, 6800
11/14/22, 425.00, 425.00, 420.25, 425.00, 89800
11/11/22, 430.00, 430.00, 425.00, 425.00, 166900
11/09/22, 425.00, 425.00, 425.00, 425.00, 150000
11/08/22, 420.00, 420.00, 420.00, 420.00, 262400
11/07/22, 425.00, 425.00, 420.00, 420.00, 31800
11/04/22, 426.50, 430.00, 426.50, 427.50, 3800
11/03/22, 432.00, 432.00, 426.50, 427.75, 4300
11/02/22, 435.00, 435.00, 430.00, 431.75, 51300
11/01/22, 435.00, 435.00, 432.00, 432.00, 8500
10/31/22, 430.00, 430.00, 430.00, 430.00, 8300
10/28/22, 435.00, 435.00, 433.00, 434.00, 600
10/27/22, 433.00, 435.00, 432.00, 432.50, 16200
10/26/22, 435.00, 435.00, 435.00, 435.00, 100
10/25/22, 433.00, 440.00, 433.00, 433.75, 4300
10/24/22, 444.00, 444.00, 433.00, 433.50, 4100
10/21/22, 434.00, 434.00, 434.00, 434.00, 400
10/19/22, 436.00, 436.00, 434.25, 435.25, 600
10/18/22, 440.00, 440.00, 430.00, 434.25, 11200
10/17/22, 438.00, 438.00, 435.00, 436.75, 500
10/14/22, 438.00, 438.00, 438.00, 438.00, 2200
10/13/22, 438.00, 438.00, 438.00, 438.00, 100
10/12/22, 444.00, 444.00, 440.00, 440.75, 600
10/11/22, 439.00, 439.00, 439.00, 439.00, 100
10/07/22, 441.00, 441.00, 430.00, 433.50, 3300
10/06/22, 440.50, 440.50, 440.50, 440.50, 100
10/05/22, 440.50, 440.50, 440.50, 440.50, 100
10/04/22, 440.00, 444.00, 440.00, 440.25, 1100
10/03/22, 444.00, 444.00, 435.00, 443.00, 800
09/30/22, 440.00, 440.25, 440.00, 440.00, 500
09/29/22, 441.00, 441.00, 440.00, 440.25, 400
09/28/22, 445.00, 445.00, 445.00, 445.00, 700
09/27/22, 442.00, 442.00, 442.00, 442.00, 1300
09/26/22, 450.00, 450.00, 442.00, 443.00, 1800
09/23/22, 442.00, 450.00, 442.00, 449.50, 1700
