Date, Open, High, Low, Close, Volume
12/30/22, 5.26, 5.26, 5.20, 5.20, 4700
12/29/22, 5.26, 5.26, 5.20, 5.24, 4100
12/28/22, 5.26, 5.26, 5.10, 5.18, 12800
12/23/22, 5.20, 5.26, 5.00, 5.08, 14800
12/22/22, 5.26, 5.26, 5.10, 5.10, 337100
12/21/22, 5.00, 5.30, 5.00, 5.14, 4100
12/20/22, 5.10, 5.10, 4.75, 4.97, 27300
12/19/22, 5.30, 5.30, 5.00, 5.06, 4800
12/16/22, 5.26, 5.26, 4.80, 5.00, 146500
12/15/22, 5.00, 5.30, 5.00, 5.00, 321800
12/14/22, 5.10, 5.10, 5.00, 5.08, 13000
12/13/22, 5.32, 5.32, 5.10, 5.10, 12100
12/09/22, 5.00, 5.34, 5.00, 5.00, 118100
12/08/22, 5.04, 5.10, 5.00, 5.04, 60000
12/07/22, 5.32, 5.34, 5.00, 5.08, 32400
12/06/22, 5.34, 5.34, 5.16, 5.28, 11900
12/05/22, 5.28, 5.30, 5.18, 5.22, 18200
12/02/22, 5.34, 5.34, 5.22, 5.30, 4400
12/01/22, 5.30, 5.36, 5.28, 5.36, 68300
11/30/22, 5.32, 5.80, 5.32, 5.36, 40400
11/29/22, 5.60, 5.60, 5.32, 5.36, 106800
11/28/22, 5.80, 5.80, 5.48, 5.60, 18100
11/25/22, 6.02, 6.02, 5.50, 5.52, 19500
11/24/22, 5.30, 5.80, 5.28, 5.48, 21800
11/23/22, 5.50, 5.68, 5.28, 5.48, 309700
11/22/22, 5.80, 5.80, 5.40, 5.48, 84100
11/21/22, 5.30, 5.80, 5.30, 5.64, 88200
11/18/22, 5.80, 5.80, 5.80, 5.80, 173200
11/17/22, 5.50, 5.80, 5.30, 5.54, 9900
11/16/22, 5.80, 5.80, 5.30, 5.66, 43000
11/15/22, 5.78, 5.88, 5.30, 5.80, 142300
11/14/22, 5.60, 5.86, 5.50, 5.66, 33800
11/11/22, 5.30, 5.86, 5.30, 5.72, 400
11/10/22, 5.90, 6.00, 5.50, 5.54, 195900
11/09/22, 5.70, 5.70, 5.50, 5.54, 84800
11/08/22, 5.90, 5.90, 5.60, 5.66, 37200
11/07/22, 5.90, 5.90, 5.70, 5.80, 22200
11/04/22, 5.90, 5.90, 5.70, 5.76, 23300
11/03/22, 6.00, 6.00, 5.68, 5.70, 11500
11/02/22, 5.60, 6.00, 5.60, 5.66, 9500
11/01/22, 6.00, 6.00, 5.60, 5.78, 27900
10/31/22, 5.98, 5.98, 5.50, 5.58, 25600
10/28/22, 5.60, 5.70, 5.60, 5.62, 28600
10/27/22, 5.80, 5.98, 5.60, 5.66, 17300
10/26/22, 6.30, 6.30, 5.98, 6.00, 13000
10/25/22, 6.20, 6.20, 6.00, 6.18, 32000
10/24/22, 6.26, 6.26, 6.00, 6.08, 13400
10/21/22, 6.26, 6.26, 6.10, 6.20, 3300
10/19/22, 6.16, 6.26, 6.10, 6.10, 7200
10/18/22, 6.10, 6.10, 6.10, 6.10, 13000
10/17/22, 6.00, 6.08, 5.80, 5.92, 43200
10/14/22, 6.12, 6.12, 6.00, 6.04, 7600
10/13/22, 6.10, 6.14, 6.08, 6.10, 2000
10/12/22, 6.08, 6.16, 6.08, 6.08, 37100
