Date, Open, High, Low, Close, Volume
12/30/22, 8.80, 8.80, 8.12, 8.36, 5300
12/29/22, 8.50, 8.80, 8.08, 8.22, 12600
12/28/22, 8.50, 8.50, 8.10, 8.38, 25500
12/23/22, 8.30, 8.50, 8.10, 8.32, 15700
12/22/22, 8.20, 8.50, 8.04, 8.34, 5700
12/21/22, 8.02, 8.20, 8.02, 8.06, 20100
12/20/22, 8.10, 8.10, 8.00, 8.02, 33600
12/19/22, 8.02, 8.20, 8.02, 8.04, 7600
12/16/22, 8.30, 8.30, 8.02, 8.28, 101200
12/15/22, 8.20, 8.30, 8.02, 8.16, 9400
12/14/22, 8.00, 8.30, 8.00, 8.14, 22400
12/13/22, 8.04, 8.04, 8.00, 8.04, 2100
12/09/22, 8.20, 8.20, 7.80, 8.18, 35900
12/08/22, 8.00, 8.18, 7.80, 8.04, 8200
12/07/22, 8.00, 8.20, 8.00, 8.00, 131700
12/06/22, 8.30, 8.30, 7.92, 8.06, 97500
12/05/22, 8.04, 8.30, 8.04, 8.14, 38800
12/02/22, 8.02, 8.20, 8.00, 8.08, 43100
12/01/22, 8.04, 8.12, 8.00, 8.04, 55200
11/30/22, 8.00, 8.50, 7.92, 8.02, 263800
11/29/22, 7.94, 8.04, 7.90, 7.98, 123600
11/28/22, 8.00, 8.00, 7.80, 7.90, 23900
11/25/22, 8.00, 8.00, 7.96, 7.98, 9000
11/24/22, 8.04, 8.08, 7.70, 7.96, 41700
11/23/22, 8.00, 8.08, 8.00, 8.04, 17100
11/22/22, 8.40, 8.40, 8.00, 8.08, 26800
11/21/22, 8.50, 8.50, 8.20, 8.40, 23000
11/18/22, 8.50, 9.00, 8.40, 8.50, 80200
11/17/22, 8.50, 8.52, 8.50, 8.50, 80900
11/16/22, 8.50, 8.50, 8.40, 8.40, 20300
11/15/22, 8.20, 8.50, 8.20, 8.40, 6000
11/14/22, 8.54, 8.54, 8.02, 8.08, 28300
11/11/22, 8.48, 8.54, 8.30, 8.42, 18600
11/10/22, 8.50, 8.60, 8.50, 8.50, 164400
11/09/22, 8.50, 8.60, 8.50, 8.54, 3100
11/08/22, 8.80, 8.80, 8.40, 8.52, 4700
11/07/22, 8.86, 8.86, 8.00, 8.02, 1185400
11/04/22, 8.86, 8.86, 8.70, 8.74, 23100
11/03/22, 8.90, 8.90, 8.60, 8.84, 9500
11/02/22, 8.20, 8.96, 8.20, 8.60, 9500
11/01/22, 8.30, 8.30, 8.00, 8.18, 59900
10/31/22, 8.30, 8.96, 8.00, 8.24, 11500
10/28/22, 8.52, 8.52, 8.02, 8.30, 55900
10/27/22, 8.40, 8.50, 8.40, 8.46, 56100
10/26/22, 8.90, 8.90, 8.30, 8.48, 27400
10/25/22, 8.60, 8.80, 8.60, 8.62, 31400
10/24/22, 9.00, 9.00, 8.60, 8.96, 24000
10/21/22, 9.30, 9.30, 8.90, 9.22, 7800
10/19/22, 9.20, 9.30, 8.90, 9.14, 13100
10/18/22, 9.00, 9.36, 8.90, 9.12, 9600
10/17/22, 9.30, 9.30, 8.90, 8.96, 26200
10/14/22, 9.00, 9.20, 8.94, 9.02, 22100
10/13/22, 8.70, 8.92, 8.70, 8.92, 42100
10/12/22, 8.80, 9.00, 8.70, 8.86, 55400
10/11/22, 8.90, 9.00, 8.80, 8.92, 3200
10/07/22, 9.00, 9.00, 8.70, 8.96, 6500
10/06/22, 9.20, 9.20, 8.74, 8.78, 20600
10/05/22, 8.62, 9.20, 8.60, 8.74, 18300
10/04/22, 9.46, 9.46, 9.20, 9.30, 42100
10/03/22, 9.20, 9.20, 9.00, 9.02, 109200
09/30/22, 9.20, 9.60, 9.04, 9.46, 14900
09/29/22, 9.50, 9.60, 9.02, 9.20, 23600
09/28/22, 9.70, 9.70, 9.60, 9.68, 45300
09/27/22, 9.80, 9.88, 9.60, 9.70, 26700
09/26/22, 9.90, 9.90, 9.62, 9.80, 41400
09/23/22, 10.00, 10.00, 9.70, 9.82, 47600
09/22/22, 9.02, 10.00, 9.02, 9.72, 30600
09/21/22, 9.50, 9.90, 9.10, 9.34, 29700
09/20/22, 10.00, 10.00, 9.10, 9.62, 250600
09/19/22, 9.50, 9.50, 9.20, 9.40, 84400
09/16/22, 9.98, 9.98, 9.10, 9.54, 43400
09/15/22, 9.90, 9.98, 9.50, 9.52, 139000
09/14/22, 10.00, 10.00, 9.60, 9.80, 8700
09/12/22, 10.00, 10.00, 9.50, 9.58, 41300
09/09/22, 10.05, 10.20, 9.06, 9.10, 979900
09/08/22, 10.20, 10.20, 9.42, 10.05, 10600
09/07/22, 9.98, 10.20, 9.42, 9.60, 150800
09/06/22, 9.90, 10.35, 9.50, 9.60, 391500
09/05/22, 9.80, 9.98, 9.40, 9.78, 20100
09/02/22, 9.80, 9.80, 9.30, 9.50, 6800
09/01/22, 9.54, 9.86, 9.00, 9.20, 239600
08/31/22, 9.00, 9.86, 8.88, 9.54, 5800
08/30/22, 9.54, 9.98, 9.00, 9.00, 1345200
08/29/22, 9.56, 9.68, 9.54, 9.56, 5600
08/26/22, 9.54, 9.84, 9.50, 9.56, 8600
08/25/22, 9.84, 9.84, 9.50, 9.54, 24400
08/24/22, 9.84, 9.84, 9.84, 9.84, 1500
08/23/22, 9.88, 10.00, 9.50, 9.54, 198900
08/22/22, 10.00, 10.00, 9.84, 9.92, 3500
08/19/22, 10.00, 10.00, 9.54, 9.84, 34900
08/18/22, 10.00, 10.00, 9.54, 9.94, 88100
08/17/22, 9.50, 10.15, 9.50, 9.92, 18400
08/16/22, 10.00, 10.00, 9.50, 9.54, 56200
08/15/22, 9.98, 10.00, 9.50, 9.54, 185700
08/12/22, 10.00, 10.00, 9.90, 9.98, 27800
08/11/22, 9.52, 10.00, 9.52, 9.80, 15600
08/10/22, 9.82, 9.98, 9.50, 9.54, 74000
08/08/22, 9.50, 9.96, 9.50, 9.52, 296700
08/05/22, 9.50, 9.50, 9.30, 9.44, 12500
08/04/22, 9.30, 9.76, 9.30, 9.30, 386800
08/03/22, 9.50, 10.00, 9.14, 9.36, 673600
08/02/22, 9.18, 9.50, 9.10, 9.22, 26300
08/01/22, 9.30, 9.50, 9.10, 9.18, 33900
07/29/22, 9.50, 9.50, 9.12, 9.32, 65300
07/28/22, 9.30, 9.34, 8.72, 9.18, 211000
07/27/22, 8.80, 8.80, 8.00, 8.50, 2086400
07/26/22, 8.00, 9.90, 8.00, 8.00, 1161800
07/25/22, 9.90, 10.25, 9.50, 9.94, 65600
07/22/22, 10.00, 10.00, 9.50, 9.58, 150200
07/21/22, 10.00, 10.00, 9.82, 9.94, 6900
07/20/22, 9.96, 10.00, 9.96, 10.00, 11900
07/19/22, 10.20, 10.20, 9.80, 9.96, 179600
07/18/22, 9.98, 10.00, 9.90, 9.98, 25100
07/15/22, 9.98, 10.00, 9.88, 9.94, 33900
07/14/22, 9.98, 9.98, 9.80, 9.98, 79900
07/13/22, 10.00, 10.00, 9.80, 9.88, 8200
07/12/22, 10.00, 10.00, 9.88, 10.00, 15000
07/08/22, 10.00, 10.00, 9.80, 9.88, 5900
07/07/22, 10.15, 10.30, 9.90, 10.00, 123300
07/06/22, 10.15, 10.55, 10.05, 10.20, 37600
07/05/22, 10.10, 10.50, 10.00, 10.30, 3600
07/04/22, 9.90, 9.90, 9.78, 9.90, 15500
07/01/22, 10.00, 10.00, 9.00, 9.02, 1085900
06/30/22, 9.90, 10.00, 9.50, 9.78, 49900
06/29/22, 9.50, 10.00, 9.50, 9.74, 10900
06/28/22, 9.80, 10.00, 9.80, 9.96, 21700
06/27/22, 9.60, 10.00, 9.60, 9.66, 2800
06/24/22, 9.28, 9.70, 9.20, 9.46, 43900
06/23/22, 9.10, 9.20, 9.02, 9.10, 10600
06/22/22, 9.10, 9.28, 9.04, 9.10, 9000
06/21/22, 9.30, 9.34, 9.10, 9.18, 28000
06/20/22, 9.10, 9.50, 9.10, 9.20, 17700
06/17/22, 9.50, 9.60, 9.02, 9.30, 105800
06/16/22, 9.60, 9.60, 9.00, 9.02, 315000
06/15/22, 9.48, 9.60, 9.28, 9.34, 131300
06/14/22, 9.42, 9.50, 9.42, 9.48, 44700
06/13/22, 9.52, 9.60, 9.40, 9.50, 565100
06/10/22, 10.00, 10.00, 9.40, 9.52, 552200
06/09/22, 10.00, 10.00, 9.38, 9.48, 202900
06/08/22, 10.80, 10.80, 9.50, 10.00, 646500
06/07/22, 9.96, 10.00, 9.60, 9.84, 165800
06/06/22, 9.96, 9.96, 9.60, 9.76, 13400
06/03/22, 9.80, 9.90, 9.80, 9.82, 204200
06/02/22, 9.94, 10.00, 9.64, 9.90, 169000
05/31/22, 10.00, 10.10, 9.90, 9.94, 202000
05/30/22, 10.00, 10.90, 9.90, 10.00, 75700
05/27/22, 10.40, 10.40, 9.92, 10.00, 267700
05/26/22, 10.00, 10.00, 10.00, 10.00, 600900
05/25/22, 10.00, 10.50, 10.00, 10.40, 7500
05/24/22, 10.00, 10.95, 10.00, 10.15, 139000
05/23/22, 9.70, 10.95, 9.40, 10.00, 352400
05/20/22, 10.50, 10.80, 9.60, 10.05, 272300
05/19/22, 11.00, 11.10, 10.50, 10.65, 201300
05/18/22, 11.50, 11.50, 11.00, 11.45, 31000
05/17/22, 11.50, 11.60, 11.50, 11.50, 18700
05/16/22, 11.55, 12.00, 11.55, 11.65, 10300
05/13/22, 11.90, 11.95, 11.60, 11.60, 501100
05/12/22, 11.95, 11.95, 11.50, 11.55, 28800
05/11/22, 11.95, 12.75, 11.90, 12.00, 3000
05/10/22, 12.75, 12.80, 11.95, 12.05, 53100
05/09/22, 12.00, 12.05, 12.00, 12.00, 6800
05/06/22, 11.95, 12.00, 11.95, 11.95, 13200
05/05/22, 12.00, 12.00, 11.95, 12.00, 14000
05/04/22, 11.95, 12.00, 11.95, 12.00, 70300
04/28/22, 12.00, 12.00, 11.95, 12.00, 15900
04/27/22, 12.00, 12.20, 12.00, 12.00, 332400
04/26/22, 12.25, 12.30, 12.20, 12.25, 128200
04/25/22, 12.30, 12.80, 12.00, 12.05, 22100
04/22/22, 12.25, 12.30, 12.00, 12.25, 24500
04/21/22, 12.25, 12.30, 12.00, 12.05, 15100
04/20/22, 12.80, 12.80, 12.00, 12.25, 1500
04/19/22, 11.95, 12.90, 11.60, 12.05, 21400
04/14/22, 12.00, 12.20, 11.90, 11.95, 106600
04/13/22, 12.10, 12.20, 12.00, 12.10, 5400
04/12/22, 12.00, 12.20, 12.00, 12.15, 6500
04/11/22, 12.05, 12.20, 12.00, 12.05, 44900
04/08/22, 12.20, 12.20, 12.00, 12.10, 9400
04/07/22, 12.15, 12.20, 12.00, 12.10, 49200
04/06/22, 12.00, 12.80, 12.00, 12.20, 20200
04/05/22, 12.00, 12.50, 12.00, 12.20, 12000
04/04/22, 12.10, 12.15, 12.00, 12.10, 25600
04/01/22, 12.15, 12.15, 12.00, 12.00, 53400
03/31/22, 12.10, 12.10, 12.05, 12.10, 25900
03/30/22, 12.05, 12.30, 12.00, 12.10, 8600
03/29/22, 12.20, 12.35, 12.00, 12.15, 21200
03/28/22, 12.20, 12.40, 12.20, 12.30, 15400
03/25/22, 12.20, 12.30, 12.00, 12.25, 28300
03/24/22, 12.00, 12.30, 11.70, 12.00, 98300
03/23/22, 12.30, 12.40, 12.25, 12.30, 32700
03/22/22, 12.40, 12.40, 12.00, 12.25, 10700
03/21/22, 12.50, 12.70, 12.00, 12.50, 51900
03/18/22, 12.80, 13.00, 12.50, 12.75, 8700
03/17/22, 13.05, 13.10, 13.00, 13.00, 32000
03/16/22, 14.00, 14.00, 13.00, 13.10, 12800
03/15/22, 13.55, 14.00, 13.50, 13.50, 14300
03/14/22, 13.50, 14.30, 13.05, 13.35, 10100
03/11/22, 13.50, 13.95, 13.50, 13.50, 16200
03/10/22, 13.95, 14.00, 13.50, 13.85, 29400
03/09/22, 14.05, 14.05, 13.00, 13.95, 235600
03/08/22, 14.35, 14.40, 14.00, 14.05, 15600
03/07/22, 14.00, 14.40, 14.00, 14.00, 1036200
03/04/22, 14.00, 14.10, 14.00, 14.00, 24900
03/03/22, 14.10, 14.10, 13.90, 14.00, 4300
03/02/22, 14.20, 14.20, 14.00, 14.05, 5600
03/01/22, 14.20, 14.30, 14.05, 14.20, 76900
02/28/22, 14.05, 14.40, 14.00, 14.05, 51100
02/25/22, 14.20, 14.30, 14.00, 14.05, 7000
02/24/22, 14.30, 14.30, 14.00, 14.10, 178400
02/23/22, 14.05, 14.35, 14.05, 14.30, 294700
02/22/22, 14.25, 14.40, 14.00, 14.15, 19600
02/21/22, 14.35, 14.35, 14.00, 14.25, 72800
02/18/22, 14.05, 14.50, 14.05, 14.30, 10000
02/17/22, 14.00, 14.30, 14.00, 14.25, 112200
02/16/22, 13.85, 14.30, 13.85, 14.00, 45700
02/15/22, 13.95, 14.25, 13.85, 13.95, 93400
02/14/22, 14.00, 14.20, 14.00, 14.00, 27800
02/11/22, 14.10, 14.25, 13.95, 14.00, 160000
02/10/22, 14.25, 14.30, 14.00, 14.00, 626500
02/09/22, 14.15, 14.15, 13.95, 14.05, 45400
02/08/22, 14.05, 14.15, 14.05, 14.10, 5400
02/07/22, 14.10, 14.20, 14.10, 14.15, 8300
02/04/22, 14.10, 14.25, 14.05, 14.15, 26400
02/03/22, 14.20, 14.20, 14.00, 14.10, 81200
02/02/22, 14.10, 14.30, 14.00, 14.20, 18500
02/01/22, 14.20, 14.20, 14.00, 14.10, 69800
01/31/22, 14.10, 14.30, 14.10, 14.20, 8800
01/28/22, 14.50, 14.50, 14.10, 14.10, 62800
01/27/22, 14.20, 14.50, 14.10, 14.20, 17700
01/26/22, 14.60, 14.60, 14.15, 14.50, 3400
01/25/22, 14.60, 14.60, 14.40, 14.50, 73300
01/24/22, 14.80, 14.80, 14.50, 14.50, 42200
01/21/22, 14.45, 14.50, 14.45, 14.50, 51600
01/20/22, 14.65, 14.65, 14.10, 14.40, 13000
01/19/22, 14.65, 14.70, 14.15, 14.50, 23800
01/18/22, 14.50, 14.80, 14.50, 14.60, 33400
01/17/22, 15.10, 15.60, 14.10, 14.95, 32100
01/14/22, 14.65, 15.00, 14.50, 14.80, 11000
01/13/22, 15.00, 15.75, 14.50, 14.65, 136800
01/12/22, 14.40, 15.40, 14.40, 14.55, 210600
01/11/22, 14.45, 14.45, 14.00, 14.35, 40700
01/10/22, 14.40, 14.45, 14.00, 14.05, 361200
01/07/22, 14.50, 14.50, 14.40, 14.40, 18300
01/06/22, 14.45, 14.50, 14.40, 14.50, 38200
01/05/22, 14.80, 14.80, 14.45, 14.60, 40500
01/04/22, 14.80, 14.80, 14.80, 14.80, 10000
01/03/22, 14.80, 14.80, 14.50, 14.65, 4200
12/31/21, 14.45, 14.50, 14.10, 14.10, 1560200
12/30/21, 14.45, 14.45, 14.15, 14.20, 111100
12/29/21, 14.50, 14.50, 14.10, 14.20, 252800
12/28/21, 14.50, 14.50, 14.20, 14.20, 1721100
12/24/21, 14.20, 14.50, 14.00, 14.10, 25200
12/23/21, 14.45, 14.50, 14.20, 14.25, 55500
12/22/21, 14.40, 14.40, 14.15, 14.20, 935400
12/21/21, 14.50, 14.50, 14.40, 14.50, 38800
12/20/21, 14.40, 14.50, 14.30, 14.40, 15900
12/17/21, 14.50, 14.50, 14.40, 14.45, 23800
12/16/21, 14.50, 14.70, 14.40, 14.60, 42800
12/15/21, 14.80, 14.80, 14.45, 14.75, 107900
12/14/21, 14.50, 14.80, 14.30, 14.60, 91000
12/10/21, 14.80, 15.00, 14.20, 14.45, 175400
12/09/21, 15.00, 15.00, 14.50, 14.80, 25300
12/08/21, 14.40, 14.95, 14.20, 14.30, 30700
12/07/21, 15.00, 15.00, 14.40, 14.90, 62000
12/06/21, 15.00, 15.00, 14.10, 14.40, 26600
12/03/21, 15.00, 15.00, 14.10, 14.35, 38700
12/02/21, 15.50, 15.50, 14.50, 14.80, 42200
12/01/21, 15.00, 15.35, 14.90, 15.05, 188200
11/30/21, 15.50, 15.50, 15.00, 15.05, 19200
11/29/21, 15.05, 15.50, 14.90, 15.45, 40500
11/26/21, 14.80, 15.05, 14.60, 14.95, 10200
11/25/21, 14.50, 15.15, 14.50, 14.55, 121500
11/24/21, 15.00, 15.00, 14.50, 14.90, 297500
11/23/21, 15.00, 15.15, 15.00, 15.10, 20200
11/22/21, 15.05, 15.10, 15.00, 15.00, 45400
11/19/21, 15.35, 15.35, 15.00, 15.05, 4200
11/18/21, 15.50, 15.50, 14.50, 15.05, 172200
11/17/21, 15.50, 15.50, 15.20, 15.35, 19900
11/16/21, 15.65, 15.75, 15.20, 15.55, 15300
11/15/21, 16.00, 16.00, 15.05, 15.25, 21300
11/12/21, 15.75, 16.50, 14.80, 15.15, 86000
11/11/21, 17.45, 17.45, 15.75, 15.95, 46600
11/10/21, 17.90, 17.90, 17.40, 17.50, 1312900
11/09/21, 17.65, 17.90, 17.65, 17.70, 49100
11/08/21, 17.65, 17.80, 17.65, 17.65, 54600
11/05/21, 17.70, 17.70, 17.65, 17.65, 3500
11/04/21, 17.75, 17.85, 17.65, 17.70, 10000
11/03/21, 17.60, 17.90, 17.60, 17.65, 5700
11/02/21, 17.80, 17.90, 17.70, 17.75, 9600
11/01/21, 17.50, 17.90, 17.50, 17.60, 21900
10/29/21, 17.80, 17.90, 17.50, 17.75, 44100
10/28/21, 17.50, 17.90, 17.50, 17.80, 1240200
10/27/21, 17.60, 17.60, 17.50, 17.50, 65600
10/26/21, 17.50, 17.60, 17.50, 17.55, 90800
10/25/21, 17.50, 17.65, 17.50, 17.50, 12400
10/22/21, 17.50, 17.70, 17.50, 17.50, 1035300
10/21/21, 17.50, 17.50, 17.50, 17.50, 532300
10/19/21, 17.65, 17.65, 17.50, 17.50, 2048700
10/18/21, 17.50, 17.65, 17.50, 17.50, 78200
10/15/21, 17.60, 17.70, 17.40, 17.50, 86000
10/14/21, 17.50, 17.50, 17.40, 17.50, 39900
10/13/21, 17.30, 17.75, 17.30, 17.45, 79500
10/12/21, 17.10, 17.50, 17.10, 17.20, 40600
10/08/21, 17.50, 17.50, 17.10, 17.40, 5100
10/07/21, 17.85, 17.85, 17.15, 17.50, 112300
10/06/21, 17.50, 17.85, 17.00, 17.50, 888500
10/05/21, 17.85, 17.95, 17.40, 17.50, 84100
10/04/21, 17.90, 18.00, 17.55, 17.75, 17700
10/01/21, 17.65, 17.95, 17.65, 17.85, 28800
09/30/21, 17.50, 17.70, 17.40, 17.60, 696800
09/29/21, 17.50, 17.55, 17.30, 17.45, 53700
09/28/21, 17.50, 17.50, 17.40, 17.50, 53100
09/27/21, 17.00, 17.55, 17.00, 17.35, 103200
09/24/21, 17.05, 17.15, 17.00, 17.05, 60400
09/23/21, 17.00, 17.20, 17.00, 17.00, 54100
09/22/21, 17.10, 17.40, 17.00, 17.05, 168300
09/21/21, 17.00, 17.30, 17.00, 17.00, 46700
09/20/21, 17.00, 17.20, 17.00, 17.00, 70400
09/17/21, 17.00, 17.10, 17.00, 17.00, 29800
09/16/21, 17.00, 17.05, 17.00, 17.00, 82100
