Date, Open, High, Low, Close, Volume
12/30/22, 50.00, 50.50, 49.50, 50.00, 84100
12/29/22, 49.45, 50.00, 49.45, 49.60, 1900
12/28/22, 49.10, 49.45, 49.00, 49.05, 1700
12/23/22, 49.00, 49.00, 49.00, 49.00, 1800
12/22/22, 48.80, 49.00, 48.80, 48.95, 700
12/21/22, 49.00, 49.00, 48.80, 48.80, 9100
12/20/22, 49.00, 49.00, 49.00, 49.00, 200
12/19/22, 48.55, 49.00, 48.55, 48.75, 24700
12/15/22, 48.75, 48.75, 48.50, 48.50, 466300
12/14/22, 48.50, 48.50, 48.50, 48.50, 3700
12/09/22, 48.30, 48.50, 48.30, 48.30, 202500
12/08/22, 48.50, 48.60, 48.00, 48.05, 122000
12/07/22, 48.05, 48.50, 48.05, 48.50, 5100
12/06/22, 48.05, 48.50, 48.00, 48.05, 926600
12/05/22, 48.00, 48.00, 48.00, 48.00, 5900
12/02/22, 48.00, 48.70, 48.00, 48.00, 500400
12/01/22, 49.00, 49.00, 48.00, 48.00, 1666300
11/28/22, 46.50, 49.00, 46.50, 48.70, 66500
11/25/22, 47.00, 48.00, 47.00, 47.00, 12500
11/24/22, 46.00, 46.00, 46.00, 46.00, 1500
11/23/22, 47.00, 47.00, 47.00, 47.00, 300
11/22/22, 47.50, 47.50, 45.00, 46.55, 18000
11/21/22, 48.50, 48.50, 48.50, 48.50, 1000
11/18/22, 47.50, 49.00, 46.10, 47.40, 18800
11/17/22, 47.50, 47.50, 47.50, 47.50, 3500
11/16/22, 46.15, 47.50, 46.15, 46.90, 2200
11/15/22, 47.50, 47.50, 46.10, 47.30, 24800
11/14/22, 47.55, 47.55, 47.50, 47.50, 51900
11/11/22, 49.50, 49.50, 48.00, 48.50, 10000
11/10/22, 49.00, 49.00, 49.00, 49.00, 4500
11/09/22, 48.50, 49.00, 48.50, 48.60, 6800
11/08/22, 49.00, 49.00, 48.00, 48.45, 10500
11/07/22, 49.00, 49.00, 48.00, 48.00, 5500
11/04/22, 48.50, 48.50, 48.00, 48.30, 2100
11/03/22, 48.50, 48.50, 48.00, 48.45, 11900
11/02/22, 48.40, 48.50, 48.20, 48.40, 8600
11/01/22, 48.00, 48.40, 48.00, 48.20, 4300
10/31/22, 48.15, 48.50, 47.50, 47.75, 1400
10/28/22, 48.00, 48.50, 46.55, 48.15, 1000
10/27/22, 47.50, 49.00, 47.50, 48.00, 1500
10/26/22, 48.95, 48.95, 46.05, 48.70, 17900
10/25/22, 49.00, 49.00, 48.00, 48.15, 87700
10/24/22, 48.50, 49.00, 48.50, 48.65, 1000
10/21/22, 49.00, 49.00, 49.00, 49.00, 8300
10/19/22, 48.65, 49.00, 48.65, 49.00, 4800
10/18/22, 48.55, 49.00, 48.00, 48.55, 110000
10/17/22, 49.00, 49.00, 48.55, 48.65, 25800
10/14/22, 49.00, 49.00, 48.55, 48.90, 12400
10/13/22, 49.20, 49.20, 48.55, 48.60, 37900
10/12/22, 49.30, 49.30, 49.00, 49.05, 8700
10/11/22, 48.50, 49.30, 48.50, 48.50, 82900
10/07/22, 49.50, 49.50, 48.50, 49.40, 2900
10/05/22, 49.55, 50.00, 49.00, 49.45, 101800
10/04/22, 50.00, 50.00, 49.55, 49.80, 4600
10/03/22, 50.00, 50.00, 50.00, 50.00, 139500
09/30/22, 50.50, 50.50, 50.00, 50.00, 500
09/29/22, 51.00, 53.00, 50.00, 52.00, 158700
09/28/22, 51.00, 51.00, 51.00, 51.00, 200
09/27/22, 49.55, 49.55, 49.50, 49.55, 5900
09/26/22, 49.80, 50.00, 49.80, 49.95, 300
09/23/22, 50.00, 50.00, 49.50, 49.80, 1600
09/22/22, 50.50, 50.50, 49.50, 50.00, 44100
09/21/22, 52.75, 52.75, 50.25, 50.50, 1700
09/20/22, 53.00, 53.00, 53.00, 53.00, 600
09/19/22, 51.00, 51.00, 50.00, 50.25, 2200
09/16/22, 53.00, 53.00, 50.00, 50.00, 40800
09/15/22, 50.75, 50.75, 50.00, 50.25, 112000
09/14/22, 50.25, 51.00, 50.25, 51.00, 8900
09/12/22, 50.50, 50.50, 50.25, 50.25, 10600
09/09/22, 50.00, 53.00, 50.00, 50.50, 2000
09/08/22, 51.50, 51.50, 50.00, 50.00, 49100
09/07/22, 51.50, 53.00, 51.25, 51.25, 10200
09/06/22, 50.50, 53.00, 50.50, 51.25, 52000
09/05/22, 52.00, 52.00, 50.00, 50.25, 211700
09/02/22, 50.25, 50.25, 50.00, 50.00, 105200
09/01/22, 51.75, 52.00, 51.75, 52.00, 900
08/31/22, 51.00, 51.00, 49.00, 50.00, 104100
08/30/22, 52.00, 52.00, 51.00, 51.50, 1900
08/29/22, 52.00, 52.00, 51.50, 51.75, 2000
08/26/22, 51.00, 51.50, 51.00, 51.50, 3500
08/25/22, 50.50, 50.50, 49.50, 50.00, 106700
08/24/22, 50.50, 51.50, 50.50, 51.25, 5900
08/23/22, 50.00, 50.50, 50.00, 50.25, 7800
08/22/22, 51.00, 51.00, 50.00, 50.50, 200
08/19/22, 50.00, 51.00, 50.00, 50.25, 3100
08/18/22, 51.00, 51.00, 50.00, 51.00, 50600
08/17/22, 51.00, 51.00, 51.00, 51.00, 39200
08/16/22, 51.00, 51.00, 51.00, 51.00, 27600
08/15/22, 51.00, 51.00, 51.00, 51.00, 17200
08/12/22, 50.50, 51.00, 50.50, 50.75, 16700
08/11/22, 50.00, 50.50, 49.55, 49.85, 50000
08/10/22, 49.05, 50.75, 49.05, 49.50, 13800
08/08/22, 49.05, 49.50, 48.95, 49.00, 113400
08/05/22, 49.00, 49.05, 49.00, 49.00, 53200
08/04/22, 48.70, 49.05, 48.60, 48.95, 55400
08/03/22, 49.00, 49.05, 48.60, 48.95, 54100
08/02/22, 49.05, 49.05, 48.70, 49.00, 73400
08/01/22, 49.00, 49.05, 49.00, 49.00, 19100
07/29/22, 49.05, 49.05, 49.00, 49.00, 4500
07/28/22, 49.00, 49.05, 48.50, 48.85, 25400
07/27/22, 49.55, 49.95, 49.00, 49.35, 20500
07/25/22, 49.95, 49.95, 49.55, 49.70, 1500
07/22/22, 49.70, 49.95, 49.00, 49.05, 47800
07/21/22, 49.00, 49.00, 49.00, 49.00, 7500
07/20/22, 49.95, 49.95, 49.50, 49.60, 5600
07/19/22, 50.00, 50.00, 49.70, 50.00, 7500
07/18/22, 50.00, 50.00, 49.50, 49.80, 2400
07/15/22, 50.00, 50.00, 49.50, 49.95, 7500
07/14/22, 50.00, 50.00, 49.50, 49.95, 2700
07/13/22, 50.00, 50.00, 50.00, 50.00, 8900
07/12/22, 50.00, 50.00, 50.00, 50.00, 16400
07/08/22, 52.00, 52.00, 50.50, 50.50, 6900
07/06/22, 48.00, 49.00, 48.00, 48.40, 1500
07/05/22, 50.00, 50.00, 48.00, 49.55, 20500
07/04/22, 49.50, 50.00, 49.00, 49.60, 12000
07/01/22, 49.60, 50.00, 49.00, 49.70, 10200
06/30/22, 50.50, 50.50, 49.95, 49.95, 1266400
06/29/22, 50.25, 52.00, 50.25, 51.25, 12700
06/28/22, 52.00, 52.00, 52.00, 52.00, 600
06/27/22, 50.25, 50.25, 49.75, 49.75, 22400
06/24/22, 51.75, 51.75, 50.00, 50.25, 13100
