Date, Open, High, Low, Close, Volume
12/30/22, 166.50, 173.00, 166.50, 167.50, 11900
12/29/22, 168.00, 168.00, 166.00, 167.00, 13000
12/28/22, 165.50, 167.00, 165.50, 167.00, 51200
12/23/22, 166.00, 166.50, 166.00, 166.00, 474400
12/22/22, 168.00, 168.00, 166.00, 167.25, 80400
12/21/22, 165.25, 166.00, 165.00, 165.25, 443200
12/20/22, 165.50, 166.00, 165.00, 165.25, 323400
12/19/22, 166.00, 166.50, 165.50, 166.00, 24200
12/16/22, 165.50, 166.00, 165.50, 166.00, 74300
12/15/22, 166.00, 167.00, 165.50, 166.00, 302900
12/14/22, 165.50, 168.00, 165.00, 165.75, 338300
12/13/22, 166.50, 166.50, 165.50, 165.50, 649900
12/09/22, 169.00, 169.00, 166.00, 167.00, 74700
12/08/22, 169.00, 169.00, 167.00, 169.00, 9600
12/07/22, 167.00, 167.00, 165.00, 167.00, 21300
12/06/22, 162.50, 166.00, 162.50, 165.75, 113000
12/05/22, 161.00, 164.25, 161.00, 163.00, 8300
12/02/22, 165.00, 166.00, 160.00, 164.25, 21900
12/01/22, 166.00, 166.25, 164.25, 165.25, 36700
11/30/22, 166.00, 168.00, 165.25, 166.00, 816000
11/29/22, 165.00, 168.00, 165.00, 166.25, 1169300
11/28/22, 170.00, 170.00, 165.00, 165.25, 7500
11/25/22, 165.00, 166.50, 165.00, 165.75, 14100
11/24/22, 166.75, 166.75, 165.00, 166.00, 450200
11/23/22, 167.00, 167.00, 166.50, 166.75, 9800
11/22/22, 167.00, 167.00, 165.00, 166.50, 630900
11/21/22, 167.00, 167.50, 166.00, 167.00, 69900
11/18/22, 165.00, 167.00, 164.50, 165.25, 193500
11/17/22, 165.00, 165.00, 164.00, 164.00, 209600
11/16/22, 165.00, 166.00, 160.50, 163.00, 323400
11/15/22, 161.00, 165.00, 160.00, 161.50, 84100
11/14/22, 159.00, 161.00, 158.00, 158.75, 4400
11/11/22, 158.00, 159.00, 157.25, 157.50, 42700
11/10/22, 160.00, 160.00, 157.00, 157.75, 72500
11/09/22, 158.00, 159.00, 156.00, 157.00, 525500
11/08/22, 163.00, 163.00, 158.75, 159.00, 82600
11/07/22, 164.00, 164.00, 150.00, 158.50, 74800
11/04/22, 165.00, 166.00, 163.00, 164.50, 15600
11/03/22, 164.00, 166.00, 163.50, 165.50, 7600
11/02/22, 167.25, 167.25, 163.00, 166.00, 52700
11/01/22, 168.00, 168.00, 167.00, 167.50, 203400
10/31/22, 168.00, 168.00, 167.00, 167.25, 34100
10/28/22, 167.50, 168.00, 165.00, 167.25, 39200
10/27/22, 169.00, 169.00, 167.50, 167.75, 6300
10/26/22, 168.00, 168.00, 167.00, 167.50, 128500
10/25/22, 169.00, 169.00, 165.25, 167.50, 157400
10/24/22, 168.00, 169.00, 168.00, 168.75, 12200
10/21/22, 168.00, 170.00, 168.00, 168.75, 15700
10/19/22, 169.50, 170.00, 168.00, 169.25, 92300
10/18/22, 171.00, 174.00, 167.50, 169.50, 404300
10/17/22, 170.00, 174.00, 169.75, 170.75, 459500
10/14/22, 164.50, 174.75, 164.50, 170.00, 370600
10/13/22, 137.25, 138.25, 137.25, 138.00, 95500
10/12/22, 139.00, 139.00, 136.50, 137.50, 8300
10/11/22, 138.75, 139.00, 137.00, 137.25, 18200
10/07/22, 140.00, 140.00, 135.00, 137.00, 320000
10/06/22, 139.00, 140.00, 135.00, 138.00, 408400
10/05/22, 144.75, 144.75, 135.00, 141.00, 7600
10/04/22, 145.00, 147.00, 142.00, 144.50, 20500
10/03/22, 148.00, 148.00, 145.00, 147.50, 700
09/30/22, 142.00, 148.00, 140.00, 142.00, 29800
09/29/22, 142.00, 142.00, 141.00, 142.00, 23700
09/28/22, 145.00, 145.00, 140.75, 143.25, 31800
09/27/22, 143.00, 145.00, 140.00, 140.75, 4800
09/26/22, 148.00, 148.00, 140.00, 140.25, 115700
09/23/22, 143.50, 145.00, 141.00, 141.25, 80200
09/22/22, 142.00, 148.00, 142.00, 145.00, 325700
09/21/22, 143.00, 148.00, 142.00, 143.75, 213300
09/20/22, 147.75, 148.00, 140.75, 142.00, 160600
09/19/22, 142.00, 148.00, 139.00, 140.00, 534400
09/16/22, 145.00, 148.00, 138.00, 142.00, 69800
09/15/22, 153.00, 153.00, 145.00, 150.25, 29500
09/14/22, 152.00, 153.00, 151.00, 151.25, 299700
09/12/22, 153.00, 153.00, 152.00, 152.00, 512600
09/09/22, 153.75, 154.00, 153.00, 153.00, 222100
09/08/22, 157.00, 157.00, 153.75, 154.00, 147500
09/07/22, 157.00, 158.00, 156.00, 157.00, 6600
09/06/22, 157.00, 157.00, 155.00, 155.50, 1000
09/05/22, 157.00, 157.00, 154.00, 157.00, 210600
09/02/22, 153.75, 155.75, 153.00, 154.00, 61200
09/01/22, 152.00, 153.00, 151.00, 152.00, 412200
08/31/22, 153.00, 153.00, 150.00, 151.00, 5900
08/30/22, 153.00, 153.00, 150.00, 153.00, 74600
08/29/22, 153.00, 153.50, 150.50, 153.00, 185700
08/26/22, 154.00, 154.00, 150.00, 153.00, 168200
08/25/22, 154.00, 154.00, 153.75, 153.75, 5400
08/24/22, 153.00, 156.75, 153.00, 153.75, 13800
