Date, Open, High, Low, Close, Volume
12/30/22, 45.50, 46.00, 42.25, 44.50, 3084600
12/29/22, 45.25, 46.00, 45.10, 45.25, 257900
12/28/22, 46.20, 46.20, 45.10, 45.25, 3844300
12/23/22, 45.50, 45.75, 45.25, 45.25, 3311200
12/22/22, 45.50, 46.00, 45.00, 45.25, 135700
12/21/22, 46.00, 46.15, 45.00, 45.25, 4246800
12/20/22, 46.20, 46.20, 45.00, 45.25, 3327900
12/19/22, 46.00, 46.00, 45.45, 45.50, 647400
12/16/22, 45.50, 46.00, 45.50, 45.50, 472900
12/15/22, 46.20, 46.20, 45.30, 45.50, 3528500
12/14/22, 46.00, 46.20, 45.00, 45.45, 521900
12/13/22, 46.00, 47.00, 46.00, 46.95, 188800
12/09/22, 45.00, 46.80, 44.50, 45.00, 131700
12/08/22, 45.00, 45.50, 45.00, 45.05, 22400
12/07/22, 45.00, 46.00, 44.50, 45.05, 209100
12/06/22, 45.00, 45.05, 44.50, 44.95, 102500
12/05/22, 45.40, 45.50, 45.00, 45.00, 600200
12/02/22, 46.50, 46.50, 44.90, 45.05, 84700
12/01/22, 46.50, 46.50, 45.00, 45.40, 162000
11/30/22, 46.85, 46.85, 45.50, 45.65, 20000
11/29/22, 45.65, 47.00, 45.50, 46.95, 4381500
11/28/22, 45.95, 47.00, 45.00, 45.65, 54900
11/25/22, 45.50, 46.80, 45.50, 45.95, 176500
11/24/22, 45.10, 45.70, 45.10, 45.45, 25500
11/23/22, 45.00, 45.40, 45.00, 45.00, 7754300
11/22/22, 45.80, 46.50, 45.00, 45.05, 215300
11/21/22, 45.50, 46.50, 45.50, 45.80, 4288700
11/18/22, 45.60, 47.00, 45.50, 46.80, 24500
11/17/22, 45.80, 46.00, 45.50, 45.65, 402400
11/16/22, 45.40, 45.90, 45.00, 45.70, 19000
11/15/22, 46.00, 46.00, 45.00, 45.55, 403300
11/14/22, 46.00, 46.00, 45.00, 45.85, 449000
11/11/22, 45.05, 46.00, 45.00, 45.10, 138300
11/10/22, 45.00, 46.00, 45.00, 45.05, 1018100
11/09/22, 45.00, 46.00, 44.05, 44.90, 33300
11/08/22, 44.00, 45.00, 44.00, 44.50, 81500
11/07/22, 46.00, 46.00, 44.00, 45.00, 514900
11/04/22, 46.00, 46.00, 45.00, 45.70, 47900
11/03/22, 46.00, 46.00, 45.00, 45.90, 28000
11/02/22, 46.50, 46.50, 44.00, 46.10, 550800
11/01/22, 46.80, 46.80, 46.00, 46.45, 2949700
10/31/22, 46.80, 46.80, 46.50, 46.70, 13600
10/28/22, 47.50, 47.50, 46.50, 46.80, 804000
10/27/22, 46.75, 47.25, 46.00, 47.15, 2181500
10/26/22, 47.00, 47.00, 46.50, 46.75, 9511100
10/25/22, 46.75, 47.00, 46.00, 46.65, 5022000
10/24/22, 46.00, 47.00, 45.90, 46.75, 144600
10/21/22, 45.00, 46.00, 45.00, 45.35, 5200
10/19/22, 44.50, 46.00, 44.50, 45.00, 112700
10/18/22, 44.25, 45.00, 43.95, 44.20, 256600
10/17/22, 45.00, 46.00, 44.00, 44.40, 35500
10/14/22, 46.00, 46.00, 44.00, 44.10, 1268500
10/13/22, 44.00, 45.00, 43.75, 43.95, 1541400
10/12/22, 44.50, 45.00, 43.95, 44.25, 412900
10/11/22, 44.50, 44.50, 44.10, 44.50, 293100
10/07/22, 46.00, 46.00, 44.00, 44.50, 2666100
10/06/22, 46.00, 46.00, 44.20, 44.65, 326200
10/05/22, 46.30, 46.30, 46.00, 46.15, 193800
10/04/22, 48.50, 48.50, 46.20, 46.20, 421500
10/03/22, 46.40, 47.10, 46.10, 46.20, 470900
09/30/22, 47.00, 47.00, 46.20, 46.45, 69700
09/29/22, 47.00, 48.00, 46.40, 46.80, 61400
09/28/22, 46.90, 47.00, 46.35, 46.50, 244200
09/27/22, 46.50, 46.95, 46.05, 46.35, 660600
09/26/22, 47.00, 47.00, 46.00, 46.70, 486100
09/23/22, 47.10, 48.50, 46.95, 47.10, 3233300
09/22/22, 47.10, 48.40, 47.10, 47.55, 735800
09/21/22, 47.25, 48.00, 47.00, 47.10, 123700
09/20/22, 46.50, 48.00, 46.15, 47.00, 280200
09/19/22, 48.90, 50.00, 46.00, 46.85, 21800
09/16/22, 47.50, 47.80, 46.00, 47.20, 575800
09/15/22, 50.00, 50.00, 47.05, 47.50, 980100
09/14/22, 48.00, 50.00, 47.00, 47.55, 651700
09/12/22, 50.00, 50.00, 47.50, 47.85, 3555100
09/09/22, 49.00, 50.00, 48.30, 48.60, 1013700
09/08/22, 49.00, 49.00, 48.60, 48.85, 462500
09/07/22, 51.00, 52.00, 48.60, 49.35, 116800
09/06/22, 52.75, 52.75, 49.50, 50.00, 178300
09/05/22, 50.00, 52.50, 47.95, 48.10, 1466600
09/02/22, 48.00, 50.00, 48.00, 48.15, 368100
09/01/22, 49.00, 49.00, 47.90, 48.00, 4769400
08/31/22, 48.50, 48.50, 47.90, 48.00, 936600
08/30/22, 49.00, 49.00, 47.80, 48.00, 59900
08/29/22, 50.00, 50.00, 47.90, 48.10, 622100
08/26/22, 48.50, 50.00, 48.50, 49.20, 12200
08/25/22, 51.00, 51.00, 48.00, 48.30, 26000
08/24/22, 48.90, 50.00, 47.85, 48.00, 2097300
08/23/22, 49.00, 50.00, 48.00, 48.35, 157700
08/22/22, 48.50, 50.00, 48.00, 49.00, 180500
08/19/22, 50.00, 50.00, 47.50, 48.00, 296300
08/18/22, 51.00, 51.00, 48.75, 49.45, 129900
08/17/22, 52.00, 52.75, 50.50, 51.25, 47000
08/16/22, 51.00, 53.00, 50.50, 52.25, 1181500
08/15/22, 50.00, 52.00, 49.50, 51.25, 72000
08/12/22, 51.75, 51.75, 50.00, 50.50, 28400
08/11/22, 52.00, 53.00, 50.00, 51.75, 1317800
08/10/22, 52.50, 53.50, 52.00, 53.25, 2252400
08/08/22, 49.00, 52.50, 49.00, 51.50, 99300
