Date, Open, High, Low, Close, Volume
12/30/22, 38.00, 38.30, 38.00, 38.10, 175400
12/29/22, 38.05, 38.10, 38.00, 38.05, 79000
12/28/22, 38.00, 38.10, 38.00, 38.05, 88600
12/23/22, 38.05, 38.10, 37.90, 38.00, 1895500
12/22/22, 38.30, 38.30, 38.00, 38.05, 586800
12/21/22, 38.50, 38.50, 37.50, 38.00, 2428300
12/20/22, 39.95, 39.95, 38.00, 38.80, 293400
12/19/22, 37.35, 40.00, 37.35, 37.90, 77000
12/16/22, 37.15, 37.45, 37.10, 37.25, 124300
12/15/22, 37.00, 37.50, 37.00, 37.15, 510400
12/14/22, 36.90, 37.00, 36.50, 36.75, 239000
12/13/22, 37.00, 37.50, 36.45, 36.75, 605800
12/09/22, 37.50, 37.50, 36.60, 36.90, 265400
12/08/22, 37.50, 38.00, 37.50, 37.60, 173300
12/07/22, 37.50, 37.50, 37.30, 37.50, 1772000
12/06/22, 37.50, 37.55, 37.00, 37.45, 764500
12/05/22, 37.60, 37.80, 37.40, 37.55, 219500
12/02/22, 38.00, 38.00, 37.50, 37.75, 175500
12/01/22, 38.00, 38.25, 37.95, 38.00, 2019800
11/30/22, 38.95, 39.50, 37.95, 38.00, 1280300
11/29/22, 38.00, 38.00, 37.70, 37.95, 1603500
11/28/22, 37.70, 38.00, 37.70, 37.75, 106900
11/25/22, 37.60, 37.70, 37.50, 37.60, 327900
11/24/22, 37.25, 37.60, 37.10, 37.50, 194900
11/23/22, 37.95, 37.95, 36.60, 37.45, 177500
11/22/22, 37.80, 38.00, 37.00, 37.30, 172300
11/21/22, 38.95, 38.95, 37.80, 38.00, 125600
11/18/22, 39.75, 39.75, 38.25, 38.80, 139900
11/17/22, 40.00, 40.00, 38.50, 39.45, 217600
11/16/22, 37.90, 40.00, 37.90, 39.55, 54300
11/15/22, 37.70, 39.00, 37.30, 37.65, 226900
11/14/22, 36.50, 37.70, 36.50, 37.05, 138900
11/11/22, 36.50, 37.00, 36.50, 36.75, 189000
11/10/22, 36.50, 36.90, 36.40, 36.50, 1143500
11/09/22, 36.60, 36.85, 36.45, 36.50, 349200
11/08/22, 37.00, 37.00, 36.50, 36.75, 1216300
11/07/22, 37.00, 37.25, 36.50, 37.00, 647200
11/04/22, 37.25, 37.25, 37.00, 37.15, 110300
11/03/22, 37.50, 37.60, 36.90, 37.25, 949600
11/02/22, 37.65, 37.70, 37.25, 37.60, 227800
11/01/22, 37.70, 37.95, 37.45, 37.70, 1411000
10/31/22, 37.60, 37.70, 37.50, 37.65, 369800
10/28/22, 37.70, 37.70, 37.50, 37.70, 1992700
10/27/22, 38.00, 38.00, 37.50, 37.70, 603100
10/26/22, 38.00, 38.00, 37.40, 37.70, 4758700
10/25/22, 37.70, 38.00, 37.50, 37.70, 224100
10/24/22, 37.70, 37.70, 36.50, 37.40, 107400
10/21/22, 37.85, 38.00, 36.20, 36.55, 5395400
10/19/22, 38.00, 38.00, 37.80, 37.90, 105900
10/18/22, 38.30, 38.30, 37.85, 37.95, 195800
10/17/22, 38.75, 40.00, 37.85, 38.15, 314400
10/14/22, 38.90, 38.95, 38.00, 38.80, 301500
10/13/22, 39.10, 39.40, 38.80, 38.95, 277400
10/12/22, 39.20, 39.40, 39.00, 39.10, 430600
10/11/22, 39.50, 39.50, 38.75, 39.15, 161800
10/07/22, 40.00, 40.00, 39.30, 39.60, 162800
10/06/22, 40.00, 40.00, 39.20, 39.40, 253100
10/05/22, 39.50, 40.00, 39.05, 39.20, 130100
10/04/22, 41.00, 41.00, 39.10, 39.45, 81100
10/03/22, 40.95, 41.50, 40.50, 41.45, 897700
09/30/22, 42.00, 42.00, 40.95, 41.45, 5089900
09/29/22, 41.50, 42.00, 41.00, 41.20, 453000
09/28/22, 41.00, 41.75, 41.00, 41.35, 3538400
09/27/22, 40.50, 41.10, 40.50, 40.80, 1354400
09/26/22, 40.00, 40.95, 39.75, 40.50, 4410200
09/23/22, 39.20, 39.80, 39.05, 39.15, 639500
09/22/22, 39.00, 39.20, 38.90, 39.00, 3003100
09/21/22, 39.10, 39.50, 38.95, 39.00, 2563800
09/20/22, 39.45, 39.45, 39.00, 39.10, 474200
09/19/22, 39.40, 40.00, 39.25, 39.45, 183100
09/16/22, 40.35, 40.35, 38.95, 39.05, 1153400
09/15/22, 40.70, 40.85, 40.00, 40.35, 1778000
09/14/22, 41.75, 41.75, 40.05, 40.90, 983000
09/12/22, 43.00, 43.00, 41.60, 41.80, 3567600
09/09/22, 42.55, 43.00, 42.25, 42.45, 278900
09/08/22, 42.70, 43.75, 42.25, 42.75, 84900
09/07/22, 42.75, 42.75, 41.80, 42.25, 130100
09/06/22, 42.55, 43.50, 41.70, 42.70, 456900
09/05/22, 40.90, 42.50, 40.80, 40.85, 2490200
09/02/22, 40.90, 41.00, 40.70, 40.85, 395200
09/01/22, 41.00, 41.30, 40.75, 41.00, 165700
08/31/22, 41.00, 41.00, 40.50, 40.85, 216100
08/30/22, 41.80, 41.80, 41.00, 41.00, 1774600
08/29/22, 41.00, 41.80, 41.00, 41.30, 122300
08/26/22, 43.00, 43.00, 40.60, 40.95, 85300
08/25/22, 42.95, 42.95, 41.00, 41.80, 89100
08/24/22, 43.30, 43.30, 42.50, 42.95, 96300
08/23/22, 43.50, 43.80, 43.00, 43.35, 350200
08/22/22, 43.35, 43.50, 43.30, 43.50, 194100
08/19/22, 43.50, 43.50, 43.05, 43.25, 80500
08/18/22, 43.50, 43.50, 43.05, 43.35, 258100
08/17/22, 42.95, 43.40, 42.95, 43.20, 123200
08/16/22, 43.00, 43.50, 42.85, 42.95, 282700
08/15/22, 43.00, 43.05, 42.60, 43.00, 191800
08/12/22, 43.00, 43.50, 42.60, 43.05, 119500
08/11/22, 43.00, 44.00, 42.50, 42.80, 732800
08/10/22, 43.25, 44.00, 42.00, 42.35, 2029100
08/08/22, 42.00, 44.00, 41.75, 42.20, 129300
08/05/22, 41.00, 42.50, 40.90, 41.75, 123400
08/04/22, 40.80, 41.30, 40.50, 40.60, 1819200
08/03/22, 41.00, 41.30, 40.50, 40.75, 248100
08/02/22, 40.65, 40.65, 39.70, 40.05, 253100
08/01/22, 41.00, 41.00, 40.00, 40.75, 1318000
07/29/22, 41.90, 41.90, 40.30, 41.15, 195600
07/28/22, 39.95, 41.00, 39.65, 40.00, 1368700
07/27/22, 39.80, 40.00, 39.00, 39.05, 2082400
07/26/22, 39.00, 40.00, 38.50, 39.65, 14700
07/25/22, 38.85, 40.00, 38.50, 38.85, 165700
07/22/22, 39.00, 39.00, 38.50, 38.50, 5466200
07/21/22, 39.00, 39.00, 38.75, 38.85, 1245900
07/20/22, 38.95, 39.00, 38.70, 39.00, 911000
07/19/22, 39.25, 39.75, 38.50, 38.75, 394500
