Date, Open, High, Low, Close, Volume
12/30/22, 3.22, 3.27, 3.19, 3.27, 110500
12/29/22, 3.19, 3.22, 3.15, 3.22, 82700
12/28/22, 3.22, 3.22, 3.10, 3.19, 17600
12/23/22, 3.22, 3.22, 3.20, 3.22, 106600
12/22/22, 3.25, 3.25, 3.10, 3.22, 62200
12/21/22, 3.25, 3.25, 3.15, 3.23, 1203000
12/20/22, 3.22, 3.22, 3.15, 3.20, 69200
12/19/22, 3.30, 3.30, 3.16, 3.20, 100800
12/16/22, 3.29, 3.30, 3.17, 3.30, 179800
12/15/22, 3.30, 3.30, 3.16, 3.29, 273100
12/14/22, 3.22, 3.30, 3.15, 3.22, 120400
12/13/22, 3.20, 3.25, 3.20, 3.22, 122200
12/09/22, 3.25, 3.25, 3.19, 3.25, 273300
12/08/22, 3.19, 3.25, 3.19, 3.22, 66200
12/07/22, 3.20, 3.22, 3.19, 3.19, 206500
12/06/22, 3.30, 3.30, 3.20, 3.22, 117500
12/05/22, 3.30, 3.30, 3.15, 3.22, 115900
12/02/22, 3.30, 3.30, 3.25, 3.29, 90400
12/01/22, 3.31, 3.31, 3.10, 3.26, 223300
11/30/22, 3.30, 3.40, 3.26, 3.30, 591400
11/29/22, 3.27, 3.30, 3.24, 3.25, 144200
11/28/22, 3.29, 3.29, 3.22, 3.27, 95600
11/25/22, 3.30, 3.30, 3.27, 3.27, 210500
11/24/22, 3.27, 3.50, 3.25, 3.30, 375400
11/23/22, 3.28, 3.30, 3.25, 3.30, 264300
11/22/22, 3.27, 3.30, 3.24, 3.30, 276800
11/21/22, 3.27, 3.27, 3.24, 3.27, 141700
11/18/22, 3.30, 3.30, 3.25, 3.27, 227800
11/17/22, 3.28, 3.30, 3.27, 3.30, 372200
11/16/22, 3.26, 3.30, 3.26, 3.29, 271500
11/15/22, 3.26, 3.29, 3.26, 3.27, 74000
11/14/22, 3.29, 3.29, 3.26, 3.29, 147600
11/11/22, 3.28, 3.29, 3.27, 3.29, 291500
11/10/22, 3.29, 3.29, 3.25, 3.29, 278000
11/09/22, 3.30, 3.30, 3.26, 3.29, 273100
11/08/22, 3.27, 3.29, 3.25, 3.29, 510700
11/07/22, 3.30, 3.30, 3.27, 3.27, 374400
11/04/22, 3.28, 3.30, 3.28, 3.30, 607900
