Date, Open, High, Low, Close, Volume
12/30/22, 1.50, 1.64, 1.47, 1.56, 603200
12/29/22, 1.50, 1.50, 1.48, 1.50, 140300
12/28/22, 1.50, 1.50, 1.49, 1.50, 110900
12/23/22, 1.50, 1.50, 1.49, 1.50, 64300
12/22/22, 1.50, 1.50, 1.45, 1.49, 258200
12/21/22, 1.58, 1.58, 1.44, 1.46, 641900
12/20/22, 1.60, 1.60, 1.46, 1.48, 159100
12/19/22, 1.46, 1.50, 1.45, 1.49, 309700
12/16/22, 1.48, 1.49, 1.42, 1.46, 926800
12/15/22, 1.49, 1.49, 1.47, 1.48, 406100
12/14/22, 1.50, 1.50, 1.48, 1.49, 1743800
12/13/22, 1.50, 1.63, 1.45, 1.50, 249100
12/09/22, 1.50, 1.50, 1.45, 1.49, 671000
12/08/22, 1.49, 1.50, 1.45, 1.48, 381700
12/07/22, 1.49, 1.50, 1.45, 1.48, 392600
12/06/22, 1.50, 1.50, 1.46, 1.48, 142500
12/05/22, 1.48, 1.50, 1.48, 1.49, 206600
12/02/22, 1.50, 1.50, 1.48, 1.49, 639500
12/01/22, 1.50, 1.51, 1.47, 1.49, 548800
11/30/22, 1.52, 1.64, 1.49, 1.50, 810000
11/29/22, 1.52, 1.54, 1.49, 1.50, 542800
11/28/22, 1.51, 1.54, 1.50, 1.52, 1869600
11/25/22, 1.52, 1.52, 1.50, 1.52, 84200
11/24/22, 1.53, 1.53, 1.50, 1.50, 433600
11/23/22, 1.57, 1.58, 1.50, 1.52, 429800
11/22/22, 1.60, 1.62, 1.50, 1.56, 1393800
11/21/22, 1.60, 1.62, 1.58, 1.60, 728700
11/18/22, 1.60, 1.70, 1.60, 1.62, 154500
11/17/22, 1.60, 1.70, 1.60, 1.62, 421400
11/16/22, 1.70, 1.70, 1.60, 1.65, 964800
11/15/22, 1.65, 1.70, 1.62, 1.66, 117600
11/14/22, 1.65, 1.75, 1.60, 1.63, 850400
11/11/22, 1.60, 1.70, 1.60, 1.65, 391900
11/10/22, 1.68, 1.70, 1.54, 1.62, 679900
11/09/22, 1.72, 1.72, 1.60, 1.68, 1078300
11/08/22, 1.75, 1.75, 1.69, 1.71, 170700
11/07/22, 1.86, 1.86, 1.70, 1.73, 637600
11/04/22, 1.81, 1.81, 1.70, 1.75, 2622200
11/03/22, 1.82, 1.86, 1.70, 1.79, 551900
11/02/22, 1.90, 1.90, 1.79, 1.82, 104900
11/01/22, 1.90, 1.90, 1.80, 1.81, 648500
10/31/22, 1.84, 1.90, 1.82, 1.86, 496200
10/28/22, 1.91, 1.95, 1.75, 1.84, 2683400
10/27/22, 1.97, 1.97, 1.90, 1.94, 1490300
10/26/22, 1.94, 2.00, 1.90, 1.94, 1226900
10/25/22, 1.98, 2.01, 1.87, 1.94, 1072900
10/24/22, 1.95, 1.98, 1.85, 1.91, 595800
10/21/22, 1.95, 1.98, 1.82, 1.92, 241100
10/19/22, 1.80, 1.85, 1.77, 1.81, 1578200
10/18/22, 1.84, 1.84, 1.76, 1.79, 170600
10/17/22, 1.78, 1.83, 1.75, 1.78, 1354100
10/14/22, 1.80, 1.80, 1.75, 1.77, 323500
10/13/22, 1.80, 1.80, 1.76, 1.78, 843500
10/12/22, 1.80, 1.84, 1.78, 1.80, 6725800
10/11/22, 1.84, 1.84, 1.75, 1.80, 7931200
10/07/22, 1.85, 1.86, 1.82, 1.84, 444400
10/06/22, 1.87, 1.87, 1.85, 1.87, 549500
10/05/22, 1.88, 1.88, 1.83, 1.87, 600200
10/04/22, 1.87, 1.88, 1.85, 1.87, 1452000
10/03/22, 1.90, 1.90, 1.85, 1.88, 874800
09/30/22, 1.89, 1.90, 1.86, 1.88, 985400
09/29/22, 1.90, 1.90, 1.85, 1.89, 1091500
09/28/22, 1.88, 1.90, 1.85, 1.89, 527800
09/27/22, 1.90, 1.90, 1.80, 1.83, 510700
09/26/22, 1.90, 1.95, 1.87, 1.90, 822400
09/23/22, 1.88, 1.94, 1.81, 1.88, 687000
09/22/22, 1.91, 1.91, 1.84, 1.90, 1450200
09/21/22, 1.89, 1.95, 1.82, 1.88, 798000
