Date, Open, High, Low, Close, Volume
12/30/22, 15.70, 16.00, 15.70, 15.95, 800
12/29/22, 16.60, 16.70, 15.65, 16.35, 1000
12/28/22, 16.60, 16.60, 16.60, 16.60, 600
12/23/22, 16.40, 16.60, 16.40, 16.50, 12700
12/22/22, 16.10, 16.45, 15.60, 16.00, 1300
12/21/22, 15.60, 16.50, 15.60, 16.45, 14500
12/20/22, 15.50, 16.50, 15.50, 16.15, 8300
12/19/22, 16.50, 16.50, 15.50, 15.55, 1500
12/16/22, 16.00, 16.50, 16.00, 16.00, 21200
12/15/22, 16.00, 16.50, 16.00, 16.20, 3200
12/14/22, 15.80, 16.50, 15.05, 15.65, 35600
12/13/22, 15.80, 15.85, 14.80, 15.05, 3700
12/09/22, 15.90, 15.90, 15.80, 15.85, 4800
12/08/22, 15.50, 15.95, 15.50, 15.90, 4300
12/07/22, 15.95, 15.95, 15.90, 15.90, 4200
12/06/22, 16.00, 16.10, 15.90, 16.00, 12200
12/05/22, 15.80, 16.00, 15.80, 15.95, 3800
12/02/22, 15.80, 16.45, 15.80, 16.05, 1500
12/01/22, 16.40, 16.40, 15.75, 15.80, 14200
11/30/22, 16.10, 16.50, 15.95, 16.20, 1800
11/29/22, 17.00, 17.00, 15.50, 16.40, 5700
11/28/22, 16.10, 16.10, 15.70, 15.95, 8000
11/25/22, 15.80, 16.30, 15.80, 16.20, 800
11/24/22, 16.30, 16.30, 16.30, 16.30, 500
11/23/22, 16.20, 16.20, 16.00, 16.05, 2700
11/22/22, 16.60, 16.60, 16.00, 16.10, 8000
11/21/22, 15.05, 16.00, 15.05, 15.95, 14000
11/18/22, 16.00, 16.00, 16.00, 16.00, 1900
11/17/22, 16.00, 16.00, 16.00, 16.00, 1200
11/16/22, 16.00, 16.00, 15.75, 15.90, 300
11/15/22, 16.00, 16.00, 15.10, 15.90, 7200
11/14/22, 16.60, 16.60, 16.50, 16.55, 2000
11/11/22, 16.65, 17.00, 16.50, 16.70, 3000
11/10/22, 16.50, 16.95, 16.50, 16.60, 400
11/09/22, 17.00, 17.00, 16.00, 16.45, 26900
11/08/22, 16.00, 16.50, 16.00, 16.30, 1000
11/07/22, 16.50, 16.50, 16.00, 16.20, 6800
11/04/22, 16.20, 16.50, 16.20, 16.25, 2500
11/03/22, 16.20, 16.20, 16.00, 16.05, 1500
11/02/22, 16.20, 16.20, 16.20, 16.20, 2000
11/01/22, 16.50, 17.45, 16.50, 17.00, 4900
10/31/22, 16.50, 16.50, 16.50, 16.50, 700
10/28/22, 15.90, 15.90, 15.85, 15.90, 4700
