Date, Open, High, Low, Close, Volume
12/30/22, 3.00, 3.10, 2.84, 3.01, 30000
12/29/22, 3.00, 3.00, 2.82, 2.84, 43200
12/28/22, 3.00, 3.00, 2.81, 2.97, 30300
12/23/22, 3.20, 3.20, 3.00, 3.02, 9200
12/22/22, 3.00, 3.20, 3.00, 3.07, 7500
12/21/22, 3.15, 3.15, 3.00, 3.10, 28600
12/20/22, 3.15, 3.20, 3.15, 3.20, 3500
12/19/22, 3.20, 3.20, 3.15, 3.15, 5700
12/16/22, 3.20, 3.20, 3.17, 3.20, 18900
12/15/22, 3.19, 3.20, 3.19, 3.20, 16400
12/14/22, 3.19, 3.20, 3.19, 3.20, 21300
12/13/22, 3.19, 3.20, 3.19, 3.19, 10600
12/09/22, 3.00, 3.20, 3.00, 3.17, 85000
12/08/22, 3.00, 3.15, 3.00, 3.11, 11200
12/07/22, 3.00, 3.15, 3.00, 3.04, 17000
12/06/22, 3.14, 3.14, 3.10, 3.11, 1700
12/05/22, 3.00, 3.15, 3.00, 3.14, 5800
12/02/22, 2.98, 3.15, 2.98, 3.15, 20700
12/01/22, 2.90, 3.15, 2.90, 2.92, 6600
11/30/22, 2.92, 2.95, 2.92, 2.95, 6700
11/29/22, 2.95, 2.95, 2.92, 2.94, 17100
11/28/22, 2.96, 2.96, 2.90, 2.94, 25700
11/25/22, 2.97, 2.97, 2.97, 2.97, 5000
11/24/22, 2.97, 2.97, 2.97, 2.97, 1500
11/23/22, 3.00, 3.01, 2.90, 2.97, 2700
11/22/22, 3.00, 3.01, 2.80, 2.89, 28600
11/21/22, 3.05, 3.05, 2.95, 2.98, 19600
11/18/22, 3.12, 3.12, 3.00, 3.01, 9300
11/17/22, 3.02, 3.12, 3.02, 3.05, 400
11/16/22, 3.10, 3.15, 3.00, 3.02, 5000
11/15/22, 3.09, 3.10, 3.00, 3.01, 26200
11/14/22, 3.09, 3.10, 3.00, 3.03, 7200
11/11/22, 3.05, 3.05, 3.00, 3.02, 3700
11/10/22, 3.19, 3.19, 3.05, 3.12, 27100
11/09/22, 3.18, 3.19, 3.15, 3.18, 27700
11/08/22, 3.18, 3.18, 3.18, 3.18, 600
11/07/22, 3.19, 3.19, 3.01, 3.05, 9600
11/04/22, 3.14, 3.19, 3.10, 3.19, 28500
11/03/22, 3.20, 3.20, 3.14, 3.19, 3400
11/02/22, 3.00, 3.30, 3.00, 3.29, 7300
11/01/22, 3.15, 3.15, 3.00, 3.02, 107700
10/31/22, 3.15, 3.15, 3.10, 3.14, 20200
10/28/22, 3.15, 3.20, 3.15, 3.15, 23500
10/27/22, 3.25, 3.25, 3.01, 3.09, 7000
10/26/22, 3.20, 3.20, 3.00, 3.01, 123100
10/25/22, 3.20, 3.20, 3.18, 3.20, 6300
10/24/22, 3.34, 3.34, 3.28, 3.31, 900
10/21/22, 3.30, 3.30, 3.30, 3.30, 800
10/19/22, 3.33, 3.33, 3.25, 3.33, 5300
10/18/22, 3.33, 3.33, 3.30, 3.33, 4200
10/17/22, 3.20, 3.35, 3.20, 3.26, 1700
