Date, Open, High, Low, Close, Volume
12/30/22, 140.75, 145.00, 140.75, 142.75, 5800
12/29/22, 142.25, 145.00, 140.00, 142.50, 3500
12/28/22, 140.00, 145.00, 140.00, 142.75, 2900
12/23/22, 140.00, 143.75, 140.00, 143.50, 1300
12/22/22, 142.00, 142.75, 139.50, 140.00, 3900
12/21/22, 139.50, 142.50, 136.00, 139.00, 17600
12/20/22, 139.50, 139.50, 138.75, 139.50, 6700
12/19/22, 140.00, 140.00, 140.00, 140.00, 300
12/16/22, 142.25, 145.00, 134.00, 139.00, 49200
12/15/22, 146.50, 148.25, 146.50, 147.75, 37600
12/14/22, 146.00, 148.00, 145.00, 146.25, 37900
12/13/22, 146.00, 148.00, 135.00, 135.00, 1100
12/09/22, 146.00, 146.00, 145.00, 146.00, 41300
12/08/22, 146.50, 146.50, 145.00, 146.00, 22600
12/07/22, 146.50, 146.50, 146.00, 146.00, 16700
12/06/22, 146.50, 147.00, 146.00, 146.00, 566000
12/05/22, 146.00, 146.75, 146.00, 146.00, 103300
12/02/22, 146.00, 146.50, 146.00, 146.25, 7500
12/01/22, 145.00, 146.00, 144.25, 145.00, 40700
11/30/22, 144.75, 145.00, 144.00, 144.25, 8300
11/29/22, 143.00, 144.75, 143.00, 144.25, 13700
11/28/22, 141.50, 143.00, 141.50, 142.50, 7600
11/25/22, 143.00, 143.00, 142.00, 143.00, 6700
11/24/22, 143.00, 143.00, 142.00, 142.75, 12400
11/23/22, 141.00, 142.75, 140.50, 140.75, 29700
11/22/22, 139.25, 141.50, 139.25, 139.50, 6500
11/21/22, 139.00, 139.25, 139.00, 139.00, 7600
11/18/22, 138.00, 139.50, 138.00, 138.75, 31900
11/17/22, 139.75, 139.75, 138.00, 138.25, 25400
11/16/22, 138.00, 138.50, 138.00, 138.25, 27000
11/15/22, 138.25, 138.25, 137.50, 138.25, 6300
11/14/22, 138.50, 138.50, 137.25, 137.25, 14600
11/11/22, 138.00, 138.00, 136.50, 137.00, 3600
11/10/22, 137.00, 137.00, 136.50, 137.00, 9300
11/09/22, 135.25, 137.00, 135.25, 136.00, 2000
11/08/22, 135.25, 136.00, 135.25, 135.50, 9300
11/07/22, 136.00, 137.00, 135.00, 135.50, 7200
11/04/22, 138.00, 138.00, 135.00, 136.75, 14400
11/03/22, 138.75, 138.75, 137.25, 138.00, 27600
11/02/22, 140.00, 140.00, 138.50, 138.75, 4600
11/01/22, 140.00, 140.00, 139.00, 139.00, 2200
10/31/22, 137.00, 139.00, 137.00, 138.25, 6600
10/28/22, 139.50, 139.50, 138.00, 138.75, 33900
10/27/22, 140.00, 140.00, 138.75, 139.75, 7300
10/26/22, 142.00, 142.00, 138.50, 140.25, 3400
10/25/22, 142.00, 142.00, 138.75, 139.00, 3300
10/24/22, 138.75, 138.75, 138.50, 138.75, 13300
10/21/22, 138.75, 138.75, 138.00, 138.50, 13500
10/19/22, 137.00, 138.75, 137.00, 138.25, 3600
10/18/22, 138.75, 138.75, 138.00, 138.75, 11600
10/17/22, 138.25, 138.75, 138.25, 138.75, 6000
10/14/22, 138.25, 138.75, 138.00, 138.25, 12100
10/13/22, 135.00, 135.00, 135.00, 135.00, 1900
10/12/22, 135.25, 137.75, 134.00, 135.75, 7800
10/11/22, 134.50, 137.75, 134.00, 135.75, 5400
10/07/22, 135.00, 136.75, 134.25, 134.75, 17100
10/06/22, 136.00, 136.75, 134.25, 135.25, 100200
10/05/22, 136.50, 136.50, 136.25, 136.25, 97700
10/04/22, 138.75, 138.75, 136.50, 136.75, 16000
10/03/22, 138.75, 138.75, 136.25, 137.00, 2000
09/30/22, 137.00, 137.00, 136.50, 136.75, 2100
09/29/22, 136.50, 137.00, 136.25, 136.50, 28800
09/28/22, 136.50, 136.75, 136.25, 136.50, 6500
09/27/22, 136.50, 136.75, 136.25, 136.50, 12000
09/26/22, 137.00, 137.00, 136.50, 136.75, 15200
09/23/22, 137.75, 138.00, 137.00, 137.75, 3900
09/22/22, 137.75, 138.00, 136.50, 137.75, 13100
09/21/22, 138.00, 138.00, 136.25, 137.75, 8200
09/20/22, 139.00, 139.00, 137.00, 138.25, 2900
09/19/22, 136.00, 138.00, 136.00, 137.50, 2200
09/16/22, 137.00, 138.00, 136.00, 136.25, 40000
09/15/22, 140.00, 140.00, 138.00, 138.25, 34000
09/14/22, 140.00, 140.00, 139.00, 139.25, 23600
09/12/22, 140.00, 140.00, 138.00, 139.25, 3200
09/09/22, 140.00, 140.00, 138.25, 139.00, 15600
09/08/22, 143.00, 143.00, 140.00, 140.75, 42100
09/07/22, 141.00, 144.00, 138.50, 141.00, 28400
09/06/22, 138.00, 145.00, 136.50, 140.25, 98000
09/05/22, 136.75, 138.00, 136.00, 136.00, 98200
09/02/22, 137.00, 137.00, 136.00, 136.50, 4400
09/01/22, 136.00, 137.00, 136.00, 136.00, 33200
08/31/22, 136.00, 137.00, 135.75, 136.50, 2400
08/30/22, 136.00, 136.00, 135.50, 136.00, 21200
08/29/22, 136.00, 137.00, 136.00, 136.25, 1200
08/26/22, 136.00, 136.00, 136.00, 136.00, 28100
08/25/22, 136.00, 136.50, 136.00, 136.00, 27400
08/24/22, 137.00, 137.00, 136.00, 136.75, 8600
08/23/22, 138.00, 138.00, 136.00, 136.75, 19900
08/22/22, 138.50, 138.75, 134.25, 135.75, 52100
08/19/22, 138.00, 140.00, 138.00, 138.25, 8700
08/18/22, 135.00, 138.00, 135.00, 137.00, 5400
08/17/22, 134.50, 137.00, 133.00, 133.75, 32500
08/16/22, 139.75, 139.75, 133.00, 133.75, 113900
08/15/22, 139.25, 141.00, 139.25, 139.75, 3000
08/12/22, 140.00, 140.50, 139.00, 139.25, 18100
08/11/22, 141.75, 142.00, 139.25, 140.00, 47300
08/10/22, 140.00, 140.00, 139.00, 139.25, 30200
08/08/22, 140.00, 140.00, 135.25, 138.25, 14400
08/05/22, 136.00, 140.25, 135.00, 135.25, 91200
08/04/22, 136.50, 143.00, 134.00, 136.00, 42000
08/03/22, 135.00, 136.50, 135.00, 135.00, 45000
08/02/22, 135.00, 135.00, 133.50, 134.75, 27500
08/01/22, 135.00, 135.00, 133.00, 134.50, 41300
07/29/22, 133.00, 133.00, 132.75, 133.00, 65100
07/28/22, 133.00, 133.00, 132.25, 133.00, 29200
07/27/22, 133.00, 136.50, 132.00, 133.00, 93900
07/25/22, 133.00, 138.75, 133.00, 135.25, 800
07/22/22, 132.00, 132.00, 131.75, 132.00, 3800
07/21/22, 132.00, 132.00, 130.00, 131.75, 25900
07/20/22, 132.00, 132.00, 131.00, 132.00, 8000
07/19/22, 131.00, 132.00, 130.00, 130.25, 18800
07/18/22, 130.75, 132.00, 130.00, 130.00, 46800
07/15/22, 131.50, 132.00, 130.50, 130.75, 16200
07/14/22, 131.50, 132.00, 130.00, 131.50, 5600
07/13/22, 133.00, 133.00, 131.25, 132.00, 10700
07/12/22, 134.00, 134.00, 130.00, 133.00, 5800
07/08/22, 134.75, 135.75, 130.00, 133.50, 16300
07/07/22, 125.00, 133.00, 124.25, 124.50, 28000
07/06/22, 125.00, 125.00, 123.75, 124.00, 938500
07/05/22, 124.00, 124.00, 124.00, 124.00, 104700
07/04/22, 124.00, 124.00, 123.75, 124.00, 86600
07/01/22, 125.00, 125.00, 124.00, 124.00, 507100
06/30/22, 125.00, 125.00, 124.50, 124.75, 36500
06/29/22, 125.00, 125.00, 124.25, 125.00, 37900
06/28/22, 125.00, 130.00, 124.25, 125.00, 27600
06/27/22, 126.00, 129.00, 123.50, 124.50, 82400
06/24/22, 125.00, 126.00, 125.00, 125.00, 7900
