Date,Price,Open,High,Low
02/09/21,1876.19,1876.19,1876.19,1876.19
02/08/21,1879.71,1879.71,1879.71,1879.71
02/05/21,1865.93,1865.93,1865.93,1865.93
02/04/21,1870.81,1870.81,1870.81,1870.81
02/03/21,1872.56,1872.56,1872.56,1872.56
02/02/21,1874.37,1874.37,1874.37,1874.37
02/01/21,1874.96,1874.96,1874.96,1874.96
01/29/21,1881.91,1881.91,1881.91,1881.91
01/28/21,1888.74,1888.74,1888.74,1888.74
01/27/21,1889.74,1889.74,1889.74,1889.74
01/26/21,1888.71,1888.71,1888.71,1888.71
01/25/21,1882.2,1882.2,1882.2,1882.2
01/22/21,1887.23,1887.23,1887.23,1887.23
01/21/21,1888.89,1888.89,1888.89,1888.89
01/20/21,1881.57,1881.57,1881.57,1881.57
01/19/21,1894.18,1894.18,1894.18,1894.18
01/18/21,1906.63,1906.63,1906.63,1906.63
01/15/21,1919.7,1919.7,1919.7,1919.7
01/14/21,1921.06,1921.06,1921.06,1921.06
01/13/21,1910.64,1910.64,1910.64,1910.64
01/12/21,1902.22,1902.22,1902.22,1902.22
01/11/21,1892.39,1892.39,1892.39,1892.39
01/08/21,1896.46,1896.46,1896.46,1896.46
01/07/21,1879.92,1879.92,1879.92,1879.92
01/06/21,1869.26,1869.26,1869.26,1869.26
01/05/21,1877.89,1877.89,1877.89,1877.89
01/04/21,1872.42,1872.42,1872.42,1872.42
12/31/20,1868.39,1868.39,1868.39,1868.39
12/30/20,1853.06,1853.06,1853.06,1853.06
12/29/20,1838.84,1838.84,1838.84,1838.84
12/28/20,1830.06,1830.06,1830.06,1830.06
12/24/20,1839.51,1839.51,1839.51,1839.51
12/23/20,1823.07,1823.07,1823.07,1823.07
12/22/20,1812,1812,1812,1812
12/21/20,1810.78,1810.78,1810.78,1810.78
12/18/20,1796.88,1796.88,1796.88,1796.88
12/17/20,1796.41,1796.41,1796.41,1796.41
12/16/20,1795.05,1795.05,1795.05,1795.05
12/15/20,1785.73,1785.73,1785.73,1785.73
12/14/20,1796.64,1796.64,1796.64,1796.64
12/11/20,1794.06,1794.06,1794.06,1794.06
12/10/20,1782.06,1782.06,1782.06,1782.06
12/09/20,1774.88,1774.88,1774.88,1774.88
12/08/20,1780.3,1780.3,1780.3,1780.3
12/07/20,1782.78,1782.78,1782.78,1782.78
12/04/20,1786.42,1786.42,1786.42,1786.42
12/03/20,1778.46,1778.46,1778.46,1778.46
