"","Date","Price"
"1","2012-07-27","84.32"
"2","2012-07-30","84.02"
"3","2012-07-31","83.26"
"4","2012-08-01","83.01"
"5","2012-08-02","82.98"
"6","2012-08-03","83.69"
"7","2012-08-06","83.27"
"8","2012-08-07","83.46"
"9","2012-08-08","83.64"
"10","2012-08-09","83.86"
"11","2012-08-10","83.86"
"12","2012-08-13","83.13"
"13","2012-08-14","83.22"
"14","2012-08-15","83.16"
"15","2012-08-16","83.6"
"16","2012-08-17","83.67"
"17","2012-08-21","83.48"
"18","2012-08-22","83.7"
"19","2012-08-23","84.01"
"20","2012-08-24","83.84"
"21","2012-08-27","83.95"
"22","2012-08-28","83.91"
"23","2012-08-29","84.36"
"24","2012-08-30","84.87"
"25","2012-08-31","84.66"
"26","2012-09-03","84.95"
"27","2012-09-04","85.62"
"28","2012-09-05","85.82"
"29","2012-09-06","85.35"
"30","2012-09-07","85.9"
"31","2012-09-10","85.16"
"32","2012-09-11","86.59"
"33","2012-09-12","87.25"
"34","2012-09-13","87.22"
"35","2012-09-14","86.61"
"36","2012-09-17","86.84"
"37","2012-09-18","87.04"
"38","2012-09-19","86.95"
"39","2012-09-20","86.37"
"40","2012-09-21","86.41"
"41","2012-09-24","86.29"
"42","2012-09-25","86.43"
"43","2012-09-26","86.22"
"44","2012-09-27","86.98"
"45","2012-09-28","87.38"
"46","2012-10-01","87.17"
"47","2012-10-02","86.63"
"48","2012-10-03","87.11"
"49","2012-10-04","87.08"
"50","2012-10-05","87.54"
"51","2012-10-08","86.97"
"52","2012-10-09","87.19"
"53","2012-10-10","87.13"
"54","2012-10-11","87.85"
"55","2012-10-12","87.71"
"56","2012-10-15","87.89"
"57","2012-10-16","88.02"
"58","2012-10-17","88.5"
"59","2012-10-18","88.85"
"60","2012-10-19","89.13"
"61","2012-10-22","89.51"
"62","2012-10-23","89.78"
"63","2012-10-24","90.28"
"64","2012-10-25","90.62"
"65","2012-10-26","91.18"
"66","2012-10-29","91.43"
"67","2012-10-30","91.78"
"68","2012-10-31","91.67"
"69","2012-11-01","91.28"
"70","2012-11-02","91.3"
"71","2012-11-05","91.44"
"72","2012-11-06","91.36"
"73","2012-11-07","91.84"
"74","2012-11-08","91.83"
"75","2012-11-09","92.94"
"76","2012-11-12","92.91"
"77","2012-11-13","92.62"
"78","2012-11-14","92.36"
"79","2012-11-15","92.66"
"80","2012-11-16","92.59"
"81","2012-11-19","92.26"
"82","2012-11-20","92.59"
"83","2012-11-21","93.13"
"84","2012-11-22","93.18"
"85","2012-11-23","93.47"
"86","2012-11-26","93.9"
"87","2012-11-27","92.78"
"88","2012-11-28","92.56"
"89","2012-11-29","92.26"
"90","2012-11-30","92.2"
"91","2012-12-03","92.05"
"92","2012-12-04","91.98"
"93","2012-12-05","91.86"
"94","2012-12-06","91.52"
"95","2012-12-07","91.95"
"96","2012-12-10","91.87"
"97","2012-12-11","92.2"
"98","2012-12-13","92.8"
"99","2012-12-14","93.03"
"100","2012-12-17","93.19"
"101","2012-12-18","93.38"
"102","2012-12-19","93.8"
"103","2012-12-20","94"
"104","2012-12-21","94.13"
"105","2012-12-24","94.24"
"106","2012-12-27","94.74"
"107","2012-12-28","94.78"
"108","2012-12-31","94.86"
"109","2013-01-02","95.55"
"110","2013-01-03","96.07"
"111","2013-01-04","97.3"
"112","2013-01-07","97.55"
"113","2013-01-08","98.91"
"114","2013-01-09","101.03"
"115","2013-01-10","101.02"
"116","2013-01-11","101.63"
"117","2013-01-14","102.76"
"118","2013-01-15","104.28"
"119","2013-01-16","106.1"
"120","2013-01-17","105.82"
"121","2013-01-18","104.78"
"122","2013-01-21","104.31"
"123","2013-01-22","104.1"
"124","2013-01-23","103.39"
"125","2013-01-24","102.45"
