"","Annualized Return","Annualized Std Dev","Annualized Sharpe (Rf=30.48%)","rho1","rho2","rho3","rho4","rho5","rho6","Q(6) p-value","daily  Std Dev","Skewness","Kurtosis","Excess kurtosis","Sample skewness","Sample excess kurtosis","Semi Deviation","Gain Deviation","Loss Deviation","Downside Deviation (MAR=40%)","Downside Deviation (Rf=30.48%)","Downside Deviation (0%)","Maximum Drawdown","Historical VaR (95%)","Historical ES (95%)","Modified VaR (95%)","Modified ES (95%)","daily downside risk","Annualised downside risk","Downside potential","Omega","Sortino ratio","Upside potential","Upside potential ratio","Omega-sharpe ratio","Sterling ratio","Calmar ratio","Burke ratio","Pain index","Ulcer index","Pain ratio","Martin ratio","Minimum","Quartile 1","Median","Arithmetic Mean","Geometric Mean","Quartile 3","Maximum","SE Mean","LCL Mean (0.95)","UCL Mean (0.95)","StdDev Sharpe (Rf=0.1%, p=95%):","VaR Sharpe (Rf=0.1%, p=95%):","ES Sharpe (Rf=0.1%, p=95%):","Alpha","Beta","Beta+","Beta-","R-squared","Annualized Alpha","Correlation","Correlation p-value","Tracking Error","Active Premium","Information Ratio","Treynor Ratio","Beta CoVariance","Beta CoSkewness","Beta CoKurtosis","Specific Risk","Systematic Risk","Total Risk","Up Capture","Down Capture","Up Number","Down Number","Up Percent","Down Percent","Direction"
"2001//1",0.1729,0.6393,-0.2063,0.0151,0.212,-0.0593,0.0193,0.0444,-0.0601,0.7102,0.0403,1.2874,12.628,9.628,1.35,10.5247,0.0263,0.0382,0.0298,0.0267,0.0265,0.026,0.2796,-0.0482,-0.0849,-0.0414,-0.0414,0.0267,0.4235,0.012,0.9251,-0.0338,0.0111,0.7519,-0.0749,-0.0598,-0.0812,-0.0842,0.1874,0.2195,-0.1296,-0.1107,-0.1264,-0.0149,0,7e-04,-1e-04,0.0146,0.2015,0.005,-0.0094,0.0107,-0.0129949202363609,-0.0126388693630082,-0.0126388693630082,0.0073,4.0468,11.4929,2.4824,0.1222,5.2407,0.3495,0.0046,0.6221,0.1449,0.233,-0.0691,4.0468,-14.558,3.8377,0.5943,0.2234,0.6349,6.222,3.2021,0.6538,0.4118,0.6538,0.5882,"Down"
"2001//2",0.0294,0.3288,-0.8376,-0.1044,0.1925,0.0593,-0.1693,-0.0885,-0.0373,0.4331,0.0207,-0.566,4.1334,1.1334,-0.5949,1.3373,0.0153,0.0113,0.0165,0.016,0.0158,0.0153,0.1693,-0.0387,-0.05,-0.0364,-0.0518,0.016,0.2544,0.0081,0.8193,-0.0918,0.0067,0.9228,-0.1807,-0.0889,-0.1414,-0.1617,0.0678,0.089,-0.3764,-0.2868,-0.0632,-0.0109,0,1e-04,-1e-04,0.011,0.0427,0.0027,-0.0052,0.0054,-0.0527611309297271,-0.030035999591221,-0.0211041347558373,0.001,0.7516,-0.1126,1.099,0.0359,0.2966,0.1894,0.1437,0.3235,0.3131,0.9679,-0.3733,0.7516,0.2119,0.1592,0.3202,0.0623,0.3262,1.4295,0.562,0.4167,0.3784,0.4167,0.6216,"Down"
"2001//3",-0.8277,0.2708,-4.1827,0.2343,0.2416,0.0198,0.1158,0.013,-0.0402,0.18,0.0171,0.7488,7.155,4.155,0.7847,4.5916,0.0114,0.0152,0.0106,0.0141,0.0139,0.0132,0.2649,-0.0267,-0.0383,-0.0259,-0.0271,0.0141,0.2246,0.0086,0.4329,-0.3443,0.0037,0.8638,-0.5671,-1.5869,-2.186,-3.217,0.1399,0.1715,-4.1488,-3.3851,-0.0473,-0.0135,0,-0.0033,-0.0034,0.0058,0.0694,0.0021,-0.0075,9e-04,-0.263482606394478,-0.173360961501676,-0.165681235027433,-0.0015,0.7877,-0.1363,0.7412,0.0374,-0.3175,0.1933,0.1229,0.266,-0.1004,-0.3772,-0.8759,0.7877,0.9285,0.6677,0.2636,0.0523,0.2687,0.3968,1.111,0.3571,0.46,0.3571,0.62,"Up"
"2001//4",0.3522,0.3489,0.1358,0.3606,0.3428,0.1563,0.2689,0.0799,0.0389,8e-04,0.022,1.1211,8.5467,5.5467,1.1784,6.1349,0.014,0.0191,0.0126,0.0141,0.0139,0.0133,0.2597,-0.0276,-0.0409,-0.0246,-0.0246,0.0141,0.2243,0.0075,0.9748,-0.0134,0.0073,1.0294,-0.0252,0.947,1.3116,1.5842,0.1472,0.1868,2.3032,1.8147,-0.0577,-0.0074,0,0.0014,0.0012,0.0139,0.1,0.0028,-0.0042,0.007,0.00855694474461051,0.00765897972480539,0.00765897972480539,0.0022,1.1879,1.8746,0.5672,0.1327,0.7599,0.3642,0.0039,0.3255,0.469,1.4406,-0.0097,1.1879,-64.8512,0.8797,0.3222,0.1271,0.3464,1.5435,0.6786,0.4,0.3214,0.4,0.6786,"Down"
"2002//1",-0.2464,0.3799,-1.4508,0.3865,0.2164,0.0453,-0.196,-0.0982,-0.1705,0.0055,0.0239,-0.6074,3.5936,0.5936,-0.6379,0.7478,0.0183,0.0126,0.0187,0.0195,0.0193,0.0187,0.2242,-0.052,-0.0585,-0.0437,-0.058,0.0195,0.3092,0.0097,0.7357,-0.1317,0.0071,0.7413,-0.2643,-0.841,-1.216,-1.0885,0.103,0.1271,-2.6629,-2.158,-0.0657,-0.0117,0,-0.001,-0.0013,0.0125,0.0486,0.003,-0.0071,0.0051,-0.0913930078793369,-0.0500813532707468,-0.0376853779465654,2e-04,0.7043,-5.8261,1.2721,0.031,0.0496,0.176,0.1712,0.375,0.1513,0.4034,-0.659,0.7043,4.979,-0.0586,0.3709,0.0669,0.3769,2.4318,1.1174,0.5652,0.4103,0.5652,0.5897,"Down"
"2002//2",-1.5029,0.3758,-4.8105,0.2632,0.3043,0.1268,-0.0878,-0.1023,-0.1936,0.0146,0.0237,0.2291,8.0672,5.0672,0.2405,5.5952,0.0175,0.0237,0.0198,0.0211,0.0209,0.0203,0.3796,-0.0466,-0.0597,-0.0406,-0.0527,0.0211,0.3342,0.011,0.3143,-0.3587,0.0035,0.7099,-0.6857,-1.6547,-2.0907,-2.5168,0.2177,0.2738,-3.652,-2.9044,-0.0784,-0.0108,0,-0.006,-0.0062,0,0.0941,0.003,-0.0119,0,-0.303031201615223,-0.176525397104421,-0.13615462899898,-0.0022,1.9434,-0.858,2.236,0.1831,-0.4298,0.4278,5e-04,0.3485,-0.5051,-1.4494,-0.4364,1.9434,2.9905,2.6872,0.337,0.1608,0.3733,0.6526,2.8828,0.3043,0.45,0.3043,0.55,"Up"
"2002//3",-0.3319,0.3607,-1.7649,0.1807,0.12,0.2296,-0.002,0.0646,-0.3202,0.0203,0.0227,-1.1086,13.0053,10.0053,-1.1609,10.9036,0.0174,0.0194,0.0261,0.0185,0.0184,0.0179,0.2812,-0.0262,-0.0584,-0.0404,-0.0973,0.0185,0.2938,0.0075,0.6152,-0.1569,0.0046,0.9705,-0.3848,-0.8606,-1.1665,-1.7373,0.07,0.1162,-4.7066,-2.838,-0.1098,-0.008,0,-0.0013,-0.0016,0,0.0857,0.0028,-0.0069,0.0043,-0.111178710573325,-0.0624686866373947,-0.0259644791485123,9e-04,1.8889,0.4535,3.2112,0.1593,0.2538,0.3991,9e-04,0.3376,-0.1845,-0.5465,-0.2673,1.8889,-1.6064,1.2106,0.3282,0.144,0.3584,1.6791,1.8204,0.3333,0.3333,0.3333,0.6667,"Up"
"2002//4",3.2716,0.6672,4.4465,0.3371,0.2667,0.3364,0.1966,0.1191,0.0154,0.0011,0.042,0.2409,3.8382,0.8382,0.2536,1.0229,0.027,0.0338,0.0319,0.0216,0.0214,0.021,0.2687,-0.0377,-0.0856,-0.052,-0.0698,0.0216,0.3424,0.0081,2.4048,0.5284,0.0195,1.8124,1.4048,53.8799,73.9352,104.0912,0.0929,0.1505,213.7658,131.9511,-0.1008,0,0,0.013,0.0121,0.0326,0.102,0.0055,0.002,0.0239,0.280102186161943,0.226576469654215,0.168712687023606,0.0062,1.638,1.5755,1.631,0.1527,3.7972,0.3907,0.0022,0.6225,17.7339,28.4873,8.8105,1.638,1.7193,1.7161,0.609,0.2607,0.6624,2.2838,0.9782,0.439,0.3889,0.4146,0.6111,"Down"
"2003//1",2.1801,0.8595,2.1818,0.3901,0.194,0.0032,-0.3961,-0.2987,-0.1068,0,0.0541,0.2137,2.5175,-0.4825,0.2245,-0.4204,0.0357,0.038,0.0298,0.0318,0.0316,0.031,0.3021,-0.0865,-0.094,-0.0769,-0.0924,0.0318,0.5045,0.0167,1.424,0.2223,0.0237,1.3565,0.424,12.7848,17.017,13.0521,0.1659,0.1948,30.9821,26.3842,-0.0973,-0.0224,0,0.0087,0.0072,0.0313,0.1022,0.0069,-0.0051,0.0224,0.137441201770183,0.0967695689529253,0.0805405806614673,0.0054,1.3117,1.6265,-0.005,0.1076,2.8863,0.328,0.0093,0.8147,4.1801,5.1308,2.6944,1.3117,225.4919,0.2979,0.8054,0.2819,0.8533,2.2151,1.3632,0.5278,0.52,0.5278,0.48,"Up"
"2003//2",2.3283,0.8279,2.4441,0.2358,0.0516,0.0698,-0.0597,-0.177,-0.0229,0.3714,0.0522,-0.053,2.4291,-0.5709,-0.0557,-0.5154,0.0365,0.0344,0.0291,0.0325,0.0323,0.0317,0.347,-0.078,-0.0897,-0.0772,-0.094,0.0325,0.5152,0.0163,1.4695,0.2358,0.0239,0.9241,0.4695,14.0472,18.0957,13.2639,0.1447,0.1994,43.3666,31.4865,-0.1,-0.0198,0.0072,0.0092,0.0079,0.0407,0.1,0.0067,-0.0041,0.0226,0.153961376136981,0.103993718300322,0.0853880898632643,0.0038,2.1714,0.624,2.7109,0.3811,1.6213,0.6173,0,0.7073,5.1323,7.2564,2.0154,2.1714,-2.5713,1.7921,0.646,0.5111,0.8237,2.746,2.5977,0.7027,0.6522,0.6216,0.3478,"Down"
