"component","train_acc","train_kappa"
1,0.552380952380952,0.103569879395966
2,0.535714285714286,0.0607272727272727
3,0.45952380952381,-0.0916086956521739
4,0.471428571428571,-0.071376811594203
5,0.538095238095238,0.071695652173913
6,0.571428571428571,0.13836231884058
7,0.569047619047619,0.13536231884058
8,0.623809523809524,0.250336677814939
9,0.607142857142857,0.217003344481605
10,0.602380952380952,0.203671328671329
11,0.604761904761905,0.206850815850816
12,0.621428571428571,0.240184149184149
13,0.652380952380952,0.299184149184149
14,0.638095238095238,0.271516164994426
15,0.657142857142857,0.312516164994426
16,0.64047619047619,0.279182831661093
17,0.611904761904762,0.229823857302118
18,0.64047619047619,0.283670011148272
19,0.595238095238095,0.202473429951691
20,0.626190476190476,0.259977703455964
21,0.626190476190476,0.259977703455964
22,0.623809523809524,0.259615384615385
23,0.592857142857143,0.193311036789298
24,0.566666666666667,0.147196581196581
25,0.623809523809524,0.252071720549981
26,0.611904761904762,0.230211817168339
27,0.578571428571429,0.161835748792271
28,0.611904761904762,0.235806763285024
29,0.611904761904762,0.24508547008547
30,0.580952380952381,0.170888888888889
