"","alpha","lambda","deviance","nvars"
"1",0.001,0.061224587755102,0.860403544156137,1245
"2",0.001,0.122449075510204,0.822192224059615,1245
"3",0.001,0.183673563265306,0.794577488533363,1237
"4",0.001,0.244898051020408,0.772235851368487,1234
"5",0.001,0.30612253877551,0.753190846524404,1233
"6",0.001,0.367347026530612,0.736418988078515,1237
"7",0.001,0.428571514285714,0.721359271026252,1232
"8",0.001,0.489796002040816,0.707613887673539,1232
"9",0.001,0.551020489795918,0.694939763660291,1234
"10",0.001,0.61224497755102,0.68315696742649,1233
"11",0.001,0.673469465306122,0.672127623314199,1231
"12",0.001,0.734693953061225,0.661749912570136,1227
"13",0.001,0.795918440816327,0.651941658164284,1226
"14",0.001,0.857142928571429,0.642635178522866,1224
"15",0.001,0.918367416326531,0.633776309194847,1223
"16",0.001,0.979591904081633,0.625318480414694,1225
"17",0.001,1.04081639183673,0.61722437776336,1218
"18",0.001,1.10204087959184,0.609461881577618,1218
"19",0.001,1.16326536734694,0.602002300701654,1216
"20",0.001,1.22448985510204,0.594821007746275,1218
"21",0.001,1.28571434285714,0.587896434617012,1218
"22",0.001,1.34693883061224,0.581209830784324,1218
"23",0.001,1.40816331836735,0.574744292368087,1222
"24",0.001,1.46938780612245,0.56848542630773,1221
"25",0.001,1.53061229387755,0.562419865251121,1221
"26",0.001,1.59183678163265,0.556535517498823,1221
"27",0.001,1.65306126938776,0.550821355062963,1222
"28",0.001,1.71428575714286,0.545267232324223,1223
"29",0.001,1.77551024489796,0.539864013404017,1223
"30",0.001,1.83673473265306,0.534603799599408,1222
"31",0.001,1.89795922040816,0.529479069804929,1222
"32",0.001,1.95918370816327,0.524482648570973,1223
"33",0.001,2.02040819591837,0.519608386434632,1222
"34",0.001,2.08163268367347,0.514850471221302,1221
"35",0.001,2.14285717142857,0.510203150504457,1221
"36",0.001,2.20408165918367,0.505661728022716,1221
"37",0.001,2.26530614693878,0.501221556923552,1219
"38",0.001,2.32653063469388,0.496878144740322,1219
"39",0.001,2.38775512244898,0.492627397805608,1218
"40",0.001,2.44897961020408,0.488465208800251,1218
"41",0.001,2.51020409795918,0.484387950165235,1217
"42",0.001,2.57142858571429,0.480392494302648,1217
"43",0.001,2.63265307346939,0.476475430549786,1217
"44",0.001,2.69387756122449,0.472633797283782,1217
"45",0.001,2.75510204897959,0.468864798762781,1217
"46",0.001,2.81632653673469,0.465165803125355,1215
"47",0.001,2.8775510244898,0.461534383986839,1215
"48",0.001,2.9387755122449,0.457968105152233,1215
"49",0.001,3,0.454464729324106,1215
"50",0.0213673469387755,1e-07,0.975098386482677,1256
"51",0.0213673469387755,0.122449075510204,0.793609385943454,920
"52",0.0213673469387755,0.183673563265306,0.754845758658279,823
"53",0.0213673469387755,0.244898051020408,0.721823652154364,776
"54",0.0213673469387755,0.30612253877551,0.692585674909734,730
"55",0.0213673469387755,0.367347026530612,0.666329409855463,658
"56",0.0213673469387755,0.428571514285714,0.642393009348611,610
"57",0.0213673469387755,0.489796002040816,0.620172675566208,577
"58",0.0213673469387755,0.551020489795918,0.599590614218777,536
"59",0.0213673469387755,0.61224497755102,0.580609015828009,498
"60",0.0213673469387755,0.673469465306122,0.562687458932587,469
"61",0.0213673469387755,0.734693953061225,0.545633113410804,448
"62",0.0213673469387755,0.795918440816327,0.529564240776414,423
"63",0.0213673469387755,0.857142928571429,0.514367617158546,390
"64",0.0213673469387755,0.918367416326531,0.499754377515719,385
"65",0.0213673469387755,0.979591904081633,0.485618898682144,376
"66",0.0213673469387755,1.04081639183673,0.471970200205458,363
"67",0.0213673469387755,1.10204087959184,0.458755502590775,353
"68",0.0213673469387755,1.16326536734694,0.445986654109917,330
"69",0.0213673469387755,1.22448985510204,0.433683088796598,326
"70",0.0213673469387755,1.28571434285714,0.421697660899048,321
"71",0.0213673469387755,1.34693883061224,0.4100043870882,314
"72",0.0213673469387755,1.40816331836735,0.398664599831085,311
