"component","train_acc","train_kappa"
1,0.530952380952381,0.0447045707915273
2,0.742857142857143,0.483130434782609
3,0.759523809523809,0.516463768115942
4,0.730952380952381,0.460666666666667
5,0.733333333333333,0.46308138238573
6,0.702380952380952,0.399594202898551
7,0.688095238095238,0.373748049052397
8,0.671428571428571,0.340414715719064
9,0.673809523809524,0.348385730211817
10,0.673809523809524,0.348385730211817
11,0.657142857142857,0.315052396878484
12,0.65952380952381,0.316
13,0.673809523809524,0.348385730211817
14,0.65952380952381,0.325052396878484
15,0.673809523809524,0.348385730211817
16,0.671428571428571,0.340898550724638
17,0.661904761904762,0.329888888888889
18,0.645238095238095,0.294222222222222
19,0.614285714285714,0.239888888888889
20,0.645238095238095,0.296555555555556
21,0.661904761904762,0.336529914529915
22,0.602380952380952,0.231794871794872
23,0.597619047619048,0.210683760683761
24,0.657142857142857,0.319157190635452
25,0.580952380952381,0.172558900037161
26,0.611904761904762,0.231558900037161
27,0.583333333333333,0.190974358974359
28,0.585714285714286,0.200615384615385
29,0.583333333333333,0.183670011148272
30,0.580952380952381,0.170888888888889
