"component","accuracy","kappa"
1,0.932981514609422,0.714992692666845
2,0.939904591532499,0.746791366615339
3,0.940673822301729,0.750181313521054
4,0.952224209898629,0.806992957593911
5,0.949916517590936,0.805152725784302
6,0.956088252832439,0.824296831333666
7,0.953011329755516,0.81251393308682
8,0.955319022063208,0.821240929392719
9,0.962242098986285,0.848014255113487
10,0.959928443649374,0.838553551520989
11,0.959928443649374,0.838553551520989
12,0.959159212880143,0.835804453152515
13,0.960697674418605,0.84126436598681
14,0.961472868217054,0.84467132033228
15,0.961472868217054,0.84467132033228
16,0.959928443649374,0.838553551520989
17,0.959928443649374,0.838553551520989
18,0.959928443649374,0.838553551520989
19,0.960697674418605,0.84126436598681
20,0.962236135957066,0.847416755953681
21,0.962236135957066,0.847416755953681
22,0.960697674418605,0.842427240741569
23,0.961466905187835,0.845211253756268
24,0.961466905187835,0.845211253756268
25,0.961466905187835,0.845211253756268
26,0.961466905187835,0.845211253756268
27,0.957620751341682,0.831022637825612
28,0.957620751341682,0.831022637825612
29,0.958389982110912,0.833771736194086
30,0.959159212880143,0.83652083456256
31,0.959159212880143,0.83652083456256
32,0.959159212880143,0.83652083456256
33,0.959928443649374,0.839304847577259
34,0.959928443649374,0.839304847577259
35,0.959928443649374,0.839304847577259
36,0.959928443649374,0.839304847577259
37,0.958389982110912,0.833793306147628
38,0.958389982110912,0.833793306147628
39,0.957620751341682,0.831009293132929
40,0.957620751341682,0.831009293132929
41,0.957620751341682,0.831009293132929
42,0.955313059033989,0.823046806057962
43,0.95608228980322,0.826289409895659
44,0.956851520572451,0.828941405437787
45,0.956851520572451,0.828941405437787
46,0.956851520572451,0.829411909500451
47,0.959934406678593,0.841004586980287
48,0.959165175909362,0.838567854863418
49,0.959165175909362,0.838567854863418
50,0.959934406678593,0.841231657204731
51,0.95685748360167,0.831076905201842
52,0.958395945140131,0.83612993666388
53,0.959165175909362,0.838594714912486
54,0.959165175909362,0.838594714912486
55,0.959165175909362,0.838594714912486
56,0.959165175909362,0.838594714912486
57,0.959165175909362,0.838594714912486
58,0.959171138938581,0.83953689100935
59,0.9576267143709,0.833756408093809
60,0.9576267143709,0.833756408093809
61,0.9576267143709,0.833756408093809
62,0.95685748360167,0.831092605752496
63,0.95685748360167,0.831092605752496
64,0.95685748360167,0.831092605752496
65,0.959934406678593,0.842726071126763
66,0.959165175909362,0.840107811404274
67,0.959165175909362,0.840107811404274
68,0.959165175909362,0.840107811404274
69,0.959165175909362,0.840107811404274
70,0.959165175909362,0.839652824804324
71,0.959165175909362,0.839652824804324
72,0.9576267143709,0.835352708500554
73,0.948378056052475,0.79884551599657
74,0.939129397734049,0.775309247651746
75,0.925271317829457,0.724259925483043
76,0.933017292784735,0.752990451409579
77,0.944531902206321,0.794032757359443
78,0.942206320810972,0.783346510123543
79,0.931419200954085,0.752285094887801
80,0.938372093023256,0.771323538553098
81,0.930679785330948,0.749324795525508
82,0.939141323792487,0.772507668494392
83,0.931449016100179,0.748796796491602
84,0.93685748360167,0.770469858854478
85,0.942224209898629,0.789184287339468
86,0.946821705426357,0.802702927961778
87,0.946845557543232,0.802377036741467
88,0.94608228980322,0.804182394004751
89,0.943750745378652,0.789895348016691
90,0.939928443649374,0.781596239927642
91,0.932993440667859,0.756313220036206
92,0.95453786523554,0.823695138808323
93,0.937602862254025,0.7729723474996
94,0.93298747763864,0.755877071237181
95,0.950697674418605,0.814298627572704
96,0.94530709600477,0.796924159427891
97,0.948378056052475,0.804331915657945
98,0.942224209898629,0.785103021118599
99,0.937602862254025,0.772083333304427
100,0.94453786523554,0.788885666518535
101,0.94453786523554,0.791588886554772
102,0.938366129994037,0.76868481436756
103,0.943768634466309,0.787912149052595
104,0.943726893261777,0.789398258830328
105,0.939910554561717,0.777968698527547
106,0.94376267143709,0.791700559733368
107,0.926809779367919,0.736658326462465
108,0.936821705426357,0.766726210843666
109,0.94221824686941,0.786591571339382
110,0.939934406678593,0.778927474742341
111,0.936845557543232,0.768991027574828
